nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask-1,mask-2,mask-3
"[2, 13, 25, 87, 157, 225, 277, 291, 350, 369]",57,15106,0.5705486042159953,0.7398652626841808,0.591801681123073,0.6619325414027648,0.755346678165725,0.8601542086650398,0,0,0
"[250, 253, 269, 289, 299, 311, 431, 508, 521, 208]",38,15125,0.6782430213612347,0.7393819962800543,0.5975806894681921,0.6618299239705382,0.8235551113078193,0.8598732443099124,0,0,0
"[86, 130, 225, 316, 320, 361, 467, 473, 530, 545]",68,15095,0.6719588888310932,0.7395318134552523,0.6265420143912115,0.6618271486767525,0.8197309856477876,0.8599603557462706,0,0,0
"[55, 101, 118, 155, 163, 225, 285, 289, 333, 388]",50,15113,1.045430283692706,0.7382157357482242,0.858353942347576,0.6610181942127177,1.0224628519866656,0.8591948182736114,true,true,true
"[13, 22, 65, 77, 88, 97, 106, 185, 188, 194]",68,15095,1.2299475936317688,0.7370181843114004,0.8438492830306062,0.6608482222595627,1.109030023773824,0.8584976320942304,true,true,true
"[25, 85, 106, 114, 157, 248, 250, 278, 333, 342]",44,15119,0.6615461969855985,0.7394548512388507,0.6160498440461614,0.6618016716129472,0.8133549022324746,0.8599156070445813,0,0,0
"[60, 172, 293, 333, 501, 473, 101, 320, 569, 99]",45,15118,0.6346644481891845,0.7395400203981369,0.662073328662461,0.6616677051504413,0.7966583007721595,0.8599651274314192,0,true,0
"[55, 214, 228, 299, 329, 374, 506, 609, 60, 77]",46,15117,1.3546182402642666,0.7373561877022815,0.9293641208761819,0.6608543306670555,1.163880681283209,0.8586944670267076,true,true,true
"[8, 26, 134, 163, 214, 501, 544, 546, 463, 609]",52,15111,0.8069998122777755,0.738995562061353,0.7259878128323786,0.6614475746136521,0.8983316827752295,0.8596485107655064,true,true,true
"[11, 25, 31, 34, 37, 41, 44, 46, 49, 54]",94,15069,1.2760605080828245,0.7358800345602072,0.845118887638828,0.6605245531101023,1.129628482326302,0.8578345030133768,true,true,true
"[442, 547, 207, 253, 568, 320, 535, 206, 300, 421]",39,15124,0.9885758612957825,0.7385857888096411,0.827764276519863,0.661240601657624,0.9942715229230809,0.8594101400435308,true,true,true
"[207, 208, 218, 224, 244, 250, 251, 284, 333, 427]",60,15103,0.7349773584054973,0.7392456655659948,0.6661776663504975,0.6616509969061214,0.8573082050263472,0.8597939669281209,0,true,0
"[12, 28, 80, 82, 84, 87, 195, 220, 225, 234]",309,14854,0.6707469063765432,0.7406533684177458,0.6330091728492044,0.6622651024534655,0.8189913957890786,0.8606122055942187,0,0,0
"[2, 9, 10, 35, 85, 90, 158, 207, 278, 300]",64,15099,1.114683294657776,0.73763734006818,0.769716674815901,0.6612109278141575,1.0557856291206924,0.8588581606226839,true,true,true
"[49, 118, 238, 250, 262, 281, 342, 473, 526, 550]",61,15102,0.4082982540891497,0.7405654704706734,0.5112982583618367,0.6622762860875454,0.6389822016998202,0.8605611369744008,0,0,0
"[26, 127, 172, 207, 270, 315, 397, 471, 539, 609]",45,15118,0.6695769404524953,0.7394361004251346,0.6501720422913231,0.661703130331464,0.8182768116306947,0.8599047042696851,0,0,0
"[44, 219, 246, 265, 376, 579, 217, 452, 17, 66]",369,14794,0.634155404833077,0.7418495730812589,0.6311675583892455,0.6624296902263452,0.7963387500511808,0.8613068983128249,0,0,0
"[24, 50, 98, 124, 144, 185, 190, 234, 279, 282]",228,14935,0.519634194113096,0.7425811404278382,0.5539750158137203,0.6633129804250855,0.7208565697231981,0.861731478146086,0,0,0
"[151, 250, 289, 320, 341, 431, 518, 270, 228, 403]",38,15125,0.9097279385272579,0.7388004143394057,0.728592383421257,0.661500770623747,0.9537965917989316,0.8595349989031311,true,true,true
"[250, 252, 571, 55, 431, 451, 539, 433, 558, 390]",70,15093,0.9498026550200154,0.7382521528321836,0.7944353129330233,0.6610531500926833,0.9745781933842022,0.859216010577191,true,true,true
"[9, 114, 163, 30, 146, 320, 324, 388, 392, 442]",37,15126,1.217923374889236,0.7380578317913954,0.9363514329119137,0.660997002726196,1.103595657335256,0.8591029226998331,true,true,true
