nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask-1,mask-2,mask-3
"[196, 293, 338, 340, 364, 389, 518, 529, 539, 44]",45,15183,1.1997820733494111,0.7589427912235026,0.9289712564333098,0.6682683180504317,1.0953456410418636,0.8711732268748292,true,true,true
"[35, 128, 188, 228, 295, 545, 571, 496, 506, 162]",62,15166,1.0853505955844163,0.7589164483397685,0.7811417404222791,0.6685804293546764,1.0418016104731342,0.8711581075440717,true,true,true
"[130, 138, 208, 218, 271, 291, 315, 321, 342, 345]",61,15167,0.7441894489886658,0.7603100834745733,0.6530763961963875,0.6691029154962237,0.8626641577048775,0.8719576156411349,0,0,0
"[12, 333, 478, 518, 547, 576, 595, 120, 147, 568]",35,15193,1.3086323091714596,0.7589821932222841,0.9283575380287091,0.6684413259835582,1.1439546796842346,0.8711958409119526,true,true,true
"[39, 96, 104, 149, 153, 161, 168, 183, 196, 208]",130,15098,0.9843845935850374,0.7583155779097303,0.783124516901569,0.6680563910651742,0.9921615763498591,0.8708131704962496,true,true,true
"[10, 22, 152, 210, 293, 310, 393, 557, 440, 247]",123,15105,1.0404264083581798,0.757963994983059,0.7986873668500194,0.6679829879759451,1.0200129451914715,0.8706112766229593,true,true,true
"[576, 180, 259, 293, 54, 546, 355, 175, 531, 25]",54,15174,1.1698940373677515,0.758787683829531,0.8368287241507479,0.6684415993406526,1.0816164002860496,0.8710842001950965,true,true,true
"[31, 34, 44, 123, 139, 168, 172, 190, 205, 240]",124,15104,0.6194772503150635,0.7614011793834808,0.6075289123201097,0.6695436966612494,0.7870687710200828,0.8725830501353329,0,0,0
"[9, 55, 172, 277, 281, 285, 316, 341, 364, 378]",55,15173,0.8390272349798602,0.7599599350506341,0.6751555887295831,0.6690165440004665,0.9159842984352189,0.8717568095808796,true,true,true
"[37, 85, 87, 101, 228, 245, 255, 270, 324, 345]",51,15177,1.1154619649350763,0.7590518569042283,0.8292088209611347,0.6685004895321991,1.0561543281808186,0.8712358216374189,true,true,true
"[15, 22, 152, 155, 161, 183, 208, 212, 215, 216]",140,15088,1.055372885432597,0.7575070511987406,0.8555411603943031,0.6673081798146874,1.0273134309608714,0.8703488100748691,true,true,true
"[7, 13, 61, 86, 149, 228, 244, 293, 297, 331]",105,15123,0.8981917240206787,0.759287737976922,0.7386012462776721,0.6685557395120049,0.9477297737333563,0.8713711826638071,true,true,true
"[157, 481, 545, 207, 13, 55, 150, 548, 97, 473]",49,15179,0.7702905906234215,0.7602130808028602,0.664021188545821,0.6690549141089966,0.8776620024949363,0.8719019903652361,true,0,true
"[35, 146, 281, 289, 333, 550, 392, 272, 595, 250]",35,15193,0.8343924244885232,0.7600746960830688,0.6779915672853976,0.6690180921901017,0.9134508330985983,0.8718226287973195,true,true,true
"[281, 120, 459, 324, 442, 496, 431, 262, 189, 435]",43,15185,0.7226572334670877,0.7603519480677036,0.6697307485893694,0.6690367571491512,0.850092485243275,0.8719816214047769,0,true,0
"[253, 285, 311, 324, 392, 467, 472, 535, 544, 576]",44,15184,0.6535386837704915,0.7605547214410735,0.6448249320151065,0.6691088831987975,0.8084173945249394,0.8720978852405695,0,0,0
"[35, 36, 60, 120, 143, 158, 285, 293, 355, 403]",48,15180,1.1101510664337415,0.7591390870394165,0.8618884155607418,0.6684289153855263,1.0536370658028986,0.8712858813497534,true,true,true
"[2, 44, 120, 151, 250, 299, 311, 315, 345, 389]",60,15168,0.6535605746203565,0.7606675209632082,0.6255415237544292,0.6692107784858873,0.8084309337354407,0.8721625542083358,0,0,0
"[5, 49, 72, 153, 291, 295, 410, 467, 496, 579]",82,15146,0.9924746959853028,0.7589882257610173,0.7768991089231272,0.66845476380348,0.9962302424566837,0.8711993031224355,true,true,true
"[5, 9, 60, 109, 207, 218, 337, 377, 386, 423]",76,15152,0.6561696903211277,0.76076753537373,0.5953038381808646,0.6694085591207404,0.8100430175744543,0.8722198893477091,0,0,0
"[58, 89, 195, 212, 274, 275, 287, 424, 434, 495]",567,14661,0.8398060210226351,0.7571685818516696,0.715616589342969,0.6672373626179484,0.9164093086730597,0.870154343695226,true,true,true
"[55, 120, 250, 278, 333, 467, 423, 535, 429, 556]",42,15186,1.0483811674652264,0.759448609470145,0.7915816721361472,0.668699799109014,1.0239048625068767,0.8714634871697982,true,true,true
