nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask-1,mask-2,mask-3
"[610, 580, 590, 608, 414, 603, 45, 232, 561, 483]",1379,13541,0.6563820013084909,0.7951300522301481,0.6368690780943096,0.6824915653241099,0.8101740561808252,0.8917006516932395,0,0,0
"[174, 91, 81, 38, 144, 94, 602, 340, 72, 353]",180,14740,0.8039725442038059,0.7820415033308113,0.6538007393416498,0.6785737185661009,0.8966451606983701,0.8843311050340881,true,0,true
"[480, 415, 199, 597, 567, 318, 66, 477, 288, 474]",1044,13876,0.6766710094445809,0.7902538399533513,0.6164086190232795,0.6829295291500088,0.8226001516195951,0.8889622263928605,0,0,0
"[177, 551, 356, 514, 182, 522, 21, 34, 274, 105]",810,14110,0.7604754440943692,0.7835592988898941,0.6875203836579439,0.6777440987939682,0.8720524319640243,0.8851888492801375,0,true,0
"[129, 249, 30, 590, 62, 68, 91, 25, 344, 139]",662,14258,0.5952481044495382,0.790991202967264,0.5646583592994405,0.6835500708998173,0.7715232364935862,0.8893768621721975,0,0,0
"[522, 292, 356, 137, 132, 123, 177, 334, 264, 381]",438,14482,0.750178970362699,0.7832777536275365,0.6840470139678239,0.6781002729338433,0.8661287262080036,0.885029803807497,0,true,0
"[590, 584, 470, 107, 46, 572, 468, 186, 577, 563]",274,14646,0.5145315738225374,0.7873156606462836,0.5599066208989502,0.680489302923632,0.7173085624907439,0.8873080979266917,0,0,0
"[559, 109, 239, 425, 18, 483, 103, 107, 404, 517]",437,14483,0.6229555345492771,0.7871142200134509,0.6011301138586101,0.6806025605875587,0.7892753223997803,0.8871945784400685,0,0,0
"[610, 249, 561, 160, 387, 313, 452, 288, 414, 182]",1381,13539,0.6766441824143405,0.7930837728885914,0.6331936488398043,0.6828732044979731,0.8225838452184315,0.8905525098996642,0,0,0
"[380, 105, 365, 495, 22, 577, 129, 567, 51, 24]",560,14360,0.9262710673746984,0.7766918537133017,0.7529384701360692,0.6753631755898069,0.9624297726975711,0.8813012275682485,true,true,true
"[446, 42, 18, 588, 455, 566, 144, 14, 425, 480]",383,14537,0.68810104881045,0.784788065994252,0.6391171954370587,0.6793065184627801,0.8295185644760761,0.8858826479812391,0,0,0
"[584, 109, 6, 42, 458, 602, 394, 126, 436, 107]",195,14725,0.7903118983430566,0.7822000676995551,0.6842327608238374,0.6781959494998423,0.8889948809431113,0.8844207526395765,true,true,true
"[474, 68, 380, 451, 91, 570, 191, 239, 590, 372]",1014,13906,0.6648566330331248,0.7908702855714984,0.6184160783059339,0.682639640539595,0.8153874128493307,0.8893088808572073,0,0,0
"[226, 91, 605, 438, 292, 27, 20, 483, 64, 223]",587,14333,0.6124532089647577,0.7892623165694922,0.5891620381031822,0.6819244141756268,0.7825938978581151,0.888404365460623,0,0,0
