uid,nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
2,"[89, 119, 153, 434, 561, 606, 640, 681, 709, 745]",79,150252,0.8585134279693966,0.7559305205135428,0.7730622227872529,0.6808218609725539,0.9265599969615549,0.869442649352758,true
3,"[16, 116, 153, 279, 315, 364, 443, 447, 580, 632]",72,150251,1.1391160708805383,0.7557805733564007,0.8388802849930658,0.6807822324067141,1.0672938071967524,0.8693564133060736,true
5,"[46, 54, 488, 827, 1012, 1083, 1270, 1382, 1469, 1566]",85,150262,1.0008927962643053,0.7558832049044039,0.7534597919090843,0.6808450552907397,1.0004462985409588,0.8694154386163175,true
13,"[89, 164, 200, 221, 473, 519, 527, 554, 653, 684]",55,150273,1.0218469269952195,0.7558438782892435,0.8122696761861203,0.6808044189185003,1.0108644454105702,0.8693928216227941,true
19,"[2373, 2687, 2982, 4211, 4730, 5069, 5467, 3049, 279, 3429]",87,150264,0.875375310403894,0.7559581163692783,0.745788609825298,0.6808538085118413,0.935614937035474,0.8694585190618804,true
30,"[12, 57, 89, 164, 176, 194, 200, 221, 313, 348]",83,150240,0.9282717338050074,0.7558885977702909,0.744967529205189,0.6808281451583509,0.963468595131677,0.8694185400428789,true
57,"[30, 43, 111, 155, 164, 200, 247, 254, 269, 332]",76,150248,1.0315794468167183,0.7558518697294658,0.7876761457604381,0.6808214576085727,1.015666996026118,0.8693974175999523,true
59,"[124, 782, 1456, 1919, 2357, 2827, 3009, 3043, 3381, 4045]",83,150266,0.862453771034424,0.7559030356755823,0.703831362311218,0.6808493346158135,0.9286838918784066,0.8694268431993472,true
60,"[32, 41, 55, 66, 140, 142, 164, 178, 206, 290]",78,150251,1.1864483367065213,0.7557798375162906,0.8796323250593097,0.6807792853292047,1.089242092790451,0.8693559900962842,true
74,"[7, 37, 40, 89, 112, 116, 126, 168, 179, 209]",95,150222,0.8972926285844963,0.7558823574412282,0.7517695420803029,0.6808203774766612,0.9472553133049697,0.8694149512409067,true
78,"[50, 52, 64, 85, 94, 100, 113, 116, 138, 167]",104,150238,0.7595202465847516,0.7559349027922401,0.7011458430148748,0.6808420242899876,0.8715045878162384,0.869445169514582,true
84,"[12, 20, 21, 46, 107, 152, 153, 218, 364, 383]",72,150246,1.271318231205241,0.7557120610804929,0.8712370659302439,0.6807682451278698,1.1275274857870388,0.869317008392504,true
93,"[54, 492, 640, 706, 745, 758, 835, 879, 989, 992]",97,150250,0.764472769561423,0.7560480189534929,0.6909089523676889,0.6808961826996931,0.8743413346979674,0.869510217854565,true
95,"[21, 176, 207, 221, 313, 381, 449, 782, 821, 841]",70,150259,0.8024204790150452,0.7559684127146052,0.6965352032586497,0.680864513362189,0.8957792579732159,0.869464440166822,true
98,"[4, 39, 63, 70, 91, 172, 206, 209, 234, 246]",71,150248,1.0089273026697252,0.7558801463091481,0.750336357044102,0.6808388861515042,1.0044537334639785,0.869413679619287,true
111,"[21, 50, 54, 57, 152, 164, 168, 280, 283, 304]",63,150264,0.9142761734504949,0.7558618567477955,0.7759998534810665,0.6807992231890138,0.9561778984323445,0.8694031612248689,true
119,"[2, 32, 47, 66, 89, 122, 129, 172, 206, 217]",89,150239,1.0638126960538468,0.7558031244833134,0.7937889073173603,0.6808128175225715,1.0314129609685185,0.8693693832217197,true
124,"[14, 25, 31, 41, 59, 132, 141, 142, 159, 172]",121,150196,0.9617077109375232,0.7557931575611943,0.8004729189009469,0.6807612244241623,0.9806669724924579,0.8693636509316423,true
134,"[4, 226, 254, 318, 345, 455, 507, 564, 827, 874]",78,150270,1.046614771906274,0.7559893271289768,0.7746507695172357,0.6808840200204669,1.0230419208938968,0.8694764672657775,true
139,"[941, 986, 1250, 1417, 1444, 1713, 1811, 1876, 1935, 2037]",90,150260,0.8537246787109081,0.7559203605159257,0.7413824395406572,0.6808337426912873,0.9239722283223171,0.8694368065109308,true
141,"[14, 51, 61, 79, 91, 124, 142, 168, 176, 206]",65,150252,1.1438634133866745,0.7558429706138037,0.8215018560576959,0.6808163877269596,1.0695155040422155,0.8693922996057669,true
142,"[16, 54, 60, 124, 141, 152, 234, 315, 497, 511]",58,150263,1.1421155816219646,0.7558213313932673,0.8564640720496025,0.6807956760454208,1.0686980778601431,0.8693798544901229,true
155,"[50, 54, 57, 79, 108, 152, 159, 171, 197, 234]",59,150267,1.0616196510564413,0.7558543587342648,0.8210659044006084,0.6808117815461471,1.0303492859494014,0.8693988490527605,true
159,"[37, 67, 89, 94, 124, 155, 164, 179, 210, 226]",73,150246,0.768004551216263,0.7559643013280066,0.7059776655829533,0.6808506897198432,0.8763586886750556,0.869462075842303,true
171,"[1, 9, 11, 14, 40, 47, 77, 79, 80, 100]",118,150200,0.9481106569239766,0.755805207834879,0.7594858705842125,0.6807936481508053,0.9737097395651214,0.8693705814178894,true
176,"[30, 41, 50, 52, 66, 67, 78, 87, 89, 95]",107,150224,0.9531221507861191,0.7557986698600214,0.7855771382608516,0.6807779921879307,0.9762797502694189,0.8693668212325689,true
182,"[4, 16, 206, 228, 572, 617, 745, 827, 907, 986]",52,150276,1.1856806209064565,0.7558487501120305,0.8688112675780698,0.6808168482940373,1.0888896275134852,0.8693956234718636,true
183,"[61, 86, 152, 189, 203, 294, 298, 345, 356, 459]",75,150253,0.9589476311820325,0.7558599836907871,0.8070242312952024,0.6807892510824133,0.9792587151422409,0.8694020840156683,true
188,"[72, 91, 112, 160, 194, 197, 250, 279, 280, 304]",73,150254,1.0286912781683453,0.7558407082100762,0.7750410830910281,0.6808247678342997,1.0142441906012305,0.8693909984639111,true
190,"[745, 821, 1154, 1309, 1417, 2052, 2210, 2440, 2819, 3381]",65,150277,1.445952873342203,0.7558438977283408,0.954829331033921,0.680805728366176,1.2024778057586771,0.8693928328024915,true
200,"[6, 13, 21, 30, 32, 40, 57, 65, 66, 80]",114,150205,0.8637524889189292,0.7559465230597672,0.7628876666057964,0.6808295024288429,0.9293828537900456,0.8694518520652924,true
211,"[79, 141, 164, 168, 203, 221, 238, 253, 279, 291]",101,150218,0.8882236956191489,0.7558646555552223,0.7527383070476567,0.6808075347976343,0.942456203554918,0.8694047708376245,true
224,"[304, 835, 1813, 1919, 2373, 4100, 4628, 4743, 5380, 5467]",67,150272,0.8775098620560938,0.7559037562488903,0.7687401608456776,0.6808288748084749,0.9367549637210864,0.8694272575948434,true
254,"[11, 47, 52, 57, 63, 67, 107, 113, 116, 126]",115,150204,1.1075300326266666,0.7556918172642194,0.8285982923893548,0.6807433196160766,1.0523925278272679,0.86930536479664,true
270,"[16, 213, 356, 614, 640, 835, 932, 941, 942, 947]",55,150274,0.8466757331692142,0.7558945962020647,0.7639122393895847,0.6808153585340733,0.9201498427806278,0.8694219897161933,true
280,"[4, 12, 29, 40, 52, 55, 64, 66, 71, 98]",88,150236,1.1213356002430528,0.7558016026412724,0.862642868877577,0.6807796712315385,1.0589313482200122,0.8693685079649898,true
332,"[25, 43, 57, 61, 86, 158, 200, 254, 283, 313]",66,150255,1.0494074332303753,0.7559226609315481,0.8369142803692393,0.6808235402054322,1.0244058928131834,0.8694381294442682,true
339,"[61, 70, 94, 113, 115, 171, 246, 325, 365, 369]",86,150240,0.7850229013465287,0.7559210252528542,0.701639218969746,0.6808357293526811,0.8860151812167378,0.8694371887910329,true
340,"[16, 43, 52, 219, 345, 459, 484, 511, 812, 821]",73,150257,1.0589986993615317,0.7558110684723802,0.8444763749409705,0.6807842499915371,1.0290766246308054,0.8693739520323692,true
344,"[221, 243, 325, 353, 625, 759, 874, 942, 992, 1226]",50,150275,0.9767718998438233,0.7559650638831622,0.7983563962936729,0.6808530171848917,0.9883177119954004,0.869462514363421,true
345,"[4, 27, 40, 50, 66, 68, 70, 77, 89, 104]",89,150230,0.9771553187588863,0.7558643700450941,0.7819900000357216,0.6808101096935221,0.9885116684991059,0.8694046066389883,true
346,"[206, 356, 383, 902, 986, 1154, 1341, 1444, 1477, 1888]",95,150257,1.4128122370186493,0.7556684054342248,0.889674591791818,0.6807477905503824,1.1886177842429624,0.869291898866097,true
347,"[77, 79, 168, 191, 206, 209, 221, 228, 250, 292]",63,150266,1.0797490774684002,0.7558220110910532,0.831517676681784,0.6807969549333691,1.0391097523690171,0.869380245399591,true
358,"[108, 128, 144, 145, 191, 252, 278, 279, 298, 313]",80,150243,1.143705344594824,0.7557716793231087,0.8757738200187507,0.6807730691438835,1.0694416041069394,0.8693512979935721,true
373,"[16, 57, 69, 79, 89, 104, 128, 191, 200, 207]",59,150257,1.2869834951978516,0.7557624730233159,0.9663456215994431,0.6807532200484158,1.1344529497506062,0.8693460030524761,true
381,"[39, 43, 51, 60, 66, 78, 79, 95, 104, 110]",112,150206,0.7663461276737833,0.7559487767731307,0.6895461262105422,0.6808501693627147,0.87541197597119,0.8694531481184772,true
397,"[12, 47, 71, 86, 98, 145, 153, 158, 167, 168]",54,150266,0.9119882478511984,0.755883448583794,0.7279568533352888,0.6808232488664905,0.954980757843423,0.8694155787560941,true
425,"[61, 145, 221, 304, 821, 841, 860, 871, 900, 901]",74,150270,0.9662474074240276,0.7558664775162841,0.7499642731725163,0.6808223174914462,0.9829788438333897,0.8694058186579408,true
450,"[6, 16, 20, 50, 51, 110, 126, 153, 154, 196]",70,150250,0.945586016763046,0.7558998843797519,0.7542362038005854,0.6808349710646387,0.9724124725460107,0.8694250309139666,true
456,"[986, 1226, 1719, 1783, 1792, 1919, 2037, 2133, 2204, 2357]",82,150258,0.9969513556292111,0.7557915909960673,0.7480588431995262,0.6807970425505288,0.998474514261236,0.869362749947378,true
458,"[1, 16, 30, 38, 43, 111, 114, 145, 153, 158]",94,150226,0.8035539763557328,0.7559237543884356,0.668475391508326,0.6808649959439518,0.8964117225671097,0.8694387582736554,true
462,"[221, 391, 578, 653, 900, 992, 1006, 1070, 1730, 2049]",89,150253,0.7934571851601471,0.7559175398317968,0.6958314478817684,0.6808417386481179,0.8907621372510998,0.869435184376499,true
464,"[98, 250, 318, 328, 394, 572, 700, 741, 761, 826]",66,150261,0.9349948040283315,0.7559053371037378,0.7795764004207292,0.6808307061622778,0.9669512935139657,0.8694281667301432,true
471,"[14, 38, 77, 145, 171, 226, 356, 399, 492, 497]",66,150263,0.8077938183252475,0.7559073236917506,0.6771877236590234,0.680851110806799,0.8987735078011855,0.8694293091975624,true
472,"[21, 37, 43, 57, 79, 145, 153, 168, 178, 217]",78,150244,0.9581722227299099,0.7558610439725006,0.786287206227069,0.6808072563239034,0.978862719041802,0.8694026937918359,true
474,"[94, 226, 317, 434, 580, 989, 1318, 1452, 1477, 1535]",83,150276,0.86278665901893,0.7560139836240155,0.6908403010391968,0.6808885591406915,0.9288631002569377,0.869490646081955,true
481,"[191, 448, 653, 745, 941, 951, 986, 1821, 2767, 3132]",71,150274,0.9462124058258548,0.7559787978620056,0.7880420363047972,0.6808549838524861,0.9727344991444761,0.8694704122982021,true
496,"[421, 805, 902, 986, 1070, 1192, 1341, 1986, 2385, 2582]",75,150256,1.2770377466326508,0.7556894263065688,0.9196190141383064,0.6807399420652254,1.1300609481937913,0.869303989583948,true
500,"[12, 61, 171, 276, 283, 304, 617, 650, 700, 709]",51,150273,0.8154205266258373,0.7559789376774845,0.7739200752366907,0.6808496318367825,0.9030063823837777,0.8694704927008647,true
501,"[16, 39, 104, 189, 191, 283, 304, 311, 345, 365]",70,150257,1.011816252378763,0.7558891884431619,0.8210473972575666,0.6808129944104173,1.0058907755709678,0.8694188797370126,true
525,"[14, 51, 55, 61, 106, 152, 213, 250, 253, 268]",86,150238,0.9327195321286753,0.7558319163329112,0.7460855578789122,0.6808038076475259,0.965774058529569,0.8693859421067902,true
526,"[1, 45, 54, 98, 112, 115, 160, 172, 219, 243]",111,150212,0.8701017755316809,0.7558598463730699,0.7127650598315882,0.6808274683371014,0.9327924611250248,0.8694020050431618,true
534,"[16, 21, 104, 121, 200, 206, 384, 421, 449, 484]",82,150251,1.2178731449878872,0.755762402320204,0.8687800113956125,0.6807698459470246,1.103572899716139,0.8693459623879345,true
537,"[43, 77, 79, 128, 144, 179, 188, 201, 210, 221]",98,150232,0.8473323453303441,0.7558997755470727,0.760065265086113,0.6808038230559792,0.9205065699550135,0.8694249683250836,true
558,"[21, 61, 94, 1772, 1919, 3801, 3980, 5159, 5027, 64]",114,150261,0.8264427777262879,0.7559414617618005,0.7188994893005379,0.6808519034063109,0.909088982292871,0.869448941434631,true
564,"[7, 21, 94, 101, 106, 113, 115, 134, 174, 176]",119,150206,0.9346155541369292,0.7558472911318905,0.7622199857594882,0.6808033832583545,0.966755167628769,0.8693947843942305,true
584,"[16, 31, 89, 104, 126, 128, 158, 164, 171, 188]",79,150241,1.0442647163587262,0.7558024933065569,0.8471138651420284,0.6807697492481027,1.0218927127437234,0.8693690202132561,true
608,"[114, 172, 246, 318, 434, 835, 925, 986, 1052, 1197]",96,150248,0.8153959174644426,0.7559415600947367,0.7207616582120414,0.6808560794346736,0.9029927560420641,0.8694489979836291,true
621,"[379, 994, 1189, 1478, 1661, 1892, 2034, 2289, 2366, 2442]",94,150256,0.9275262927814913,0.7559220437634313,0.7507536470306534,0.6808393728604915,0.9630816646481706,0.8694377745206562,true
622,"[40, 71, 87, 89, 91, 101, 159, 167, 250, 254]",87,150237,0.8274306111851003,0.7559167827462743,0.735036038413713,0.680830846466916,0.9096321295914631,0.8694347489871073,true
629,"[141, 143, 152, 171, 226, 241, 277, 290, 311, 315]",80,150269,1.2898411008214983,0.7557077851973835,0.9065784259525695,0.680756827269741,1.1357117155429446,0.8693145490542439,true
637,"[633, 775, 986, 1240, 1270, 1562, 1604, 2851, 3034, 3980]",90,150274,0.8462778174320963,0.7559501643838422,0.7442565598508181,0.6808508563369424,0.9199335940338825,0.8694539460971135,true
643,"[67, 100, 141, 250, 291, 432, 468, 488, 489, 522]",88,150234,0.8980864632497153,0.7558790767237861,0.741006090199404,0.6808269636012992,0.9476742389923424,0.8694130645002903,true
647,"[4, 47, 112, 196, 254, 266, 276, 318, 388, 437]",90,150263,0.9688582248520321,0.7560360147510616,0.768588290052974,0.6809008706495137,0.9843059609958847,0.8695033149741648,true
656,"[77, 167, 219, 356, 421, 448, 497, 807, 815, 1037]",77,150266,0.8327393340719241,0.7559269918867887,0.7466887856680423,0.6808254820251506,0.9125455243832629,0.8694406201039774,true
668,"[41, 50, 57, 64, 70, 88, 91, 98, 102, 132]",89,150232,1.0329657109681958,0.7558157335670757,0.7934473994746903,0.6807963542015371,1.0163492071961269,0.869376635047823,true
686,"[1, 21, 106, 126, 153, 168, 171, 188, 218, 221]",79,150239,1.0355655350855042,0.7558239199933701,0.8154115260085868,0.6807906085160496,1.01762740484202,0.8693813432512628,true
687,"[703, 902, 1305, 3039, 3642, 4273, 6034, 4393, 5410, 4184]",91,150277,0.8411397521211392,0.7559952650183175,0.711603235451362,0.6808779610274206,0.9171367139751517,0.8694798818939501,true
701,"[16, 21, 94, 141, 172, 226, 363, 367, 447, 484]",52,150274,0.9270087781380029,0.7559128709378801,0.7851602934197288,0.6808343845779555,0.9628129507531579,0.8694324993568391,true
709,"[1, 2, 4, 12, 14, 20, 38, 51, 52, 71]",88,150238,0.8156692249931939,0.7559254341370075,0.700970745133896,0.680850095752233,0.9031440776494047,0.8694397242690304,true
723,"[6, 21, 38, 61, 78, 108, 120, 126, 140, 141]",95,150224,0.9298182550831793,0.7558372363232668,0.7537189582014101,0.6808035496411715,0.9642708411453595,0.8693890017266533,true
730,"[21, 104, 110, 116, 196, 298, 354, 358, 361, 391]",104,150220,0.8040329466311911,0.7559297747552548,0.7088681041651737,0.6808443196103304,0.8966788425245635,0.8694422204811857,true
744,"[745, 900, 2373, 2696, 4413, 4537, 4614, 5125, 5215, 5439]",77,150282,0.9327112063366276,0.7558960532092576,0.7615869227558002,0.6808422109119132,0.9657697480955942,0.8694228276329404,true
750,"[31, 50, 61, 77, 87, 104, 128, 135, 168, 172]",85,150243,0.845771309902599,0.7558700672903962,0.7650278294789163,0.6807881462040068,0.9196582571273957,0.8694078831540442,true
751,"[21, 54, 56, 60, 61, 72, 74, 94, 99, 106]",77,150238,1.153788286624791,0.755760186678884,0.8596892056931217,0.6807675062815527,1.0741453749957643,0.8693446880719315,true
762,"[16, 21, 43, 68, 76, 209, 221, 243, 247, 254]",67,150253,1.1913780721143263,0.7558634760635947,0.8632047420207686,0.6808146959509459,1.0915026670211696,0.8694040925045123,true
786,"[21, 41, 76, 106, 135, 138, 145, 196, 218, 221]",74,150251,1.0415991951598595,0.7558702885177107,0.8269564945677522,0.680815224939293,1.0205876714716182,0.8694080103827607,true
795,"[94, 141, 171, 278, 289, 305, 317, 525, 572, 748]",125,150208,0.8288762369947573,0.7558854549346624,0.7139928023984242,0.680829436330421,0.9104264039419976,0.8694167326056375,true
804,"[41, 61, 64, 124, 160, 189, 254, 276, 280, 365]",55,150264,0.9435125670308688,0.7559310029372079,0.8234284984751781,0.6808267834914193,0.971345750508473,0.8694429267854262,true
823,"[16, 21, 98, 122, 153, 160, 247, 282, 391, 449]",94,150238,1.1925096241673878,0.7556868067872766,0.8751466417346145,0.6807388288196038,1.0920208899867199,0.8693024829064258,true
825,"[25, 32, 51, 55, 57, 60, 71, 75, 113, 122]",110,150209,1.0556179040860107,0.7557601300904306,0.8232394580282987,0.680759541110955,1.0274326761817587,0.8693446555253161,true
837,"[40, 94, 119, 200, 211, 227, 278, 296, 367, 369]",128,150203,1.1773638294318276,0.7556035428807176,0.8628619980332322,0.6807057735151655,1.0850639748106228,0.869254590370806,true
864,"[20, 21, 72, 144, 167, 283, 290, 318, 325, 341]",71,150266,1.216266047927443,0.7558216027882103,0.9248729441394684,0.6807871847862484,1.102844525727649,0.8693800105754734,true
869,"[1336, 4649, 835, 1454, 320, 986, 1892, 2775, 5899, 473]",143,150276,0.8638511086279412,0.756040106515251,0.7545548030061211,0.680897711763199,0.9294359088328475,0.8695056679028901,true
873,"[51, 57, 61, 142, 145, 191, 209, 213, 228, 252]",84,150254,0.7811492243271798,0.7558545700249866,0.6778463063076515,0.6807958302426493,0.8838264673153774,0.8693989705681658,true
924,"[61, 94, 1240, 1270, 1277, 1382, 1562, 1772, 1821, 1919]",70,150265,0.8146206302923679,0.7558490656919729,0.6388317672094831,0.6808203031935428,0.9025633663584889,0.8693958049657089,true
941,"[13, 27, 40, 50, 64, 66, 69, 105, 115, 128]",88,150231,0.8591333174846276,0.7559006788646612,0.7556317467792233,0.6808159463913668,0.9268944478658978,0.8694254878163288,true
950,"[68, 89, 128, 141, 168, 178, 180, 191, 206, 211]",81,150242,0.9768333060261287,0.7558294339603534,0.7685657928996722,0.6808048292879378,0.9883487775204302,0.8693845144470618,true
954,"[304, 315, 317, 341, 421, 871, 950, 1060, 1310, 1351]",72,150261,0.7848099550865463,0.7559748395488264,0.6821132867093552,0.6808487767081421,0.8858950022923406,0.8694681360169713,true
961,"[1, 30, 37, 40, 80, 89, 98, 132, 203, 210]",120,150202,0.9328340826931804,0.7558189933190277,0.8089589878215678,0.6807592220707301,0.9658333617623592,0.8693785098097535,true
977,"[200, 653, 886, 941, 1157, 2037, 2392, 2488, 3168, 3642]",94,150262,0.9716184818710265,0.7559497955578666,0.8127037549133077,0.6808387753055964,0.9857070974031923,0.8694537339950106,true
987,"[153, 254, 304, 745, 799, 986, 1197, 1341, 1454, 1604]",74,150265,1.3734103721943536,0.7556729894090227,0.9503076418469386,0.6807400178093272,1.1719259243631202,0.8692945354763383,true
1022,"[27, 74, 221, 276, 282, 384, 441, 458, 460, 825]",71,150263,0.8689265766875032,0.7559035707365597,0.7276747702714698,0.6808288894001904,0.9321623124153342,0.8694271509083206,true
1023,"[4, 71, 83, 158, 209, 226, 254, 269, 277, 328]",61,150258,0.9400065721906005,0.7559130608922553,0.764403681697207,0.6808309509544731,0.9695393608258513,0.8694326085972709,true
1026,"[11, 14, 25, 42, 57, 61, 68, 108, 120, 121]",137,150183,0.9549435076644407,0.7558056601589797,0.7528385666391233,0.6808008213717897,0.9772121098637904,0.8693708415624368,true
