uid,nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
84,"[1230, 4083, 3205, 2789, 4879, 1835, 2787, 2919, 5136, 3051]",537,149344,0.8193494301761073,0.7560383375762796,0.7058308770377048,0.6823627335699797,0.9051792254443908,0.8695046506927261,true
130,"[2015, 2868, 3539, 2457, 4379, 18, 105, 4006, 4535, 3517]",652,149242,0.8142564454405233,0.7559990903242657,0.7142410367126013,0.6822772593649056,0.9023615935092336,0.8694820816579636,true
138,"[1628, 3031, 3693, 5585, 770, 76, 5074, 1134, 2872, 2900]",640,149245,0.8796529885396513,0.7556290637379178,0.7297159834513047,0.6821930461560842,0.937898175997614,0.8692692699836557,true
151,"[181, 4028, 5596, 2088, 5927, 3050, 4291, 1356, 3112, 5630]",484,149450,1.1751010439310017,0.7548330136030531,0.8466573358132109,0.6818881955224162,1.0840207765218348,0.8688112646616946,true
198,"[456, 5369, 2145, 3099, 2503, 4449, 2148, 1793, 2403, 4541]",351,149578,0.9781470797759991,0.7556555754464933,0.7616883466901085,0.6822409558446494,0.9890131848342565,0.8692845192723113,true
285,"[3837, 1836, 4139, 1607, 2023, 2015, 3080, 4748, 3211, 1297]",618,149276,0.7784499424536053,0.756080967669759,0.7096112161001457,0.6822959153669749,0.8822981029411802,0.8695291643583664,true
428,"[4823, 3182, 2928, 3118, 214, 2854, 1812, 1086, 3834, 2168]",718,149166,0.818050072771224,0.7559069315425635,0.7153972249933563,0.682262548850652,0.9044612057856456,0.869429083676503,true
451,"[4408, 4090, 4765, 2581, 5306, 5100, 3945, 4083, 4772, 5643]",850,149057,0.8815576275804188,0.7553717844910384,0.7281885807043016,0.6820942324380669,0.938913003201265,0.8691212714524011,true
550,"[571, 3610, 2110, 2624, 5371, 5565, 1681, 4671, 5543, 2747]",577,149454,0.7691889727067892,0.756181895034596,0.7027374806372033,0.6823797852583066,0.8770341912985999,0.8695871980627337,true
556,"[2091, 3140, 271, 5848, 5841, 4682, 5650, 5771, 1761, 4865]",517,149401,0.8858899573015995,0.7558421920564703,0.7389555837275533,0.6822687791527975,0.9412172742260947,0.8693918518461455,true
569,"[195, 4048, 3026, 4153, 3834, 2541, 531, 411, 4285, 2011]",791,149099,0.8555775717389394,0.7556715223695262,0.7284138614380581,0.6821686700401256,0.9249743627468491,0.8692936916655534,true
607,"[3391, 4386, 1613, 2015, 3624, 3425, 4022, 4356, 3590, 2244]",937,148942,0.768949773372205,0.7561045545409352,0.6721198808841218,0.682471191521349,0.876897812388767,0.8695427272658516,true
638,"[2611, 2446, 3679, 2645, 3669, 1790, 5880, 4033, 1712, 5634]",652,149234,0.9383683166254827,0.7553516556938713,0.7458122387531735,0.6821094779263803,0.968694129550439,0.8691096914048717,true
702,"[2054, 5734, 5677, 463, 3309, 4532, 4843, 5134, 391, 4058]",366,149595,0.8041796812049282,0.7561678729710585,0.7146532860919077,0.6824015435757639,0.8967606599338133,0.8695791355426247,true
725,"[1680, 6016, 651, 1333, 1291, 3590, 1425, 4169, 1685, 5763]",1360,148528,0.8085884017078626,0.7557071875829146,0.7115347954094066,0.6821465281443124,0.8992154367602141,0.8693142053267705,true
876,"[2484, 3125, 5763, 4335, 3269, 411, 631, 1586, 2424, 355]",609,149280,0.8308353915013309,0.7558960899666239,0.717186773152941,0.6822591992902749,0.9115017232574664,0.8694228487718872,true
926,"[3610, 4808, 2909, 4285, 5645, 1764, 4671, 4028, 75, 3792]",851,149038,0.9327268395855661,0.7551365168436566,0.7409956543524867,0.6820489865465295,0.9657778417346125,0.8689859129143904,true
1017,"[2907, 4819, 5767, 4477, 1298, 705, 3998, 5205, 10, 2909]",818,149133,0.9347256237127336,0.7554991562202331,0.7524396781449498,0.6821503996411487,0.9668120932801438,0.8691945445182184,true
1063,"[4406, 5614, 5664, 329, 4738, 4115, 5359, 4942, 5453, 3970]",638,149240,0.8172410348855347,0.7559168063114453,0.7207345515928506,0.682241902603523,0.9040138466226801,0.8694347625391139,true
1140,"[5947, 1057, 1671, 3760, 3762, 1297, 346, 5980, 816, 2466]",548,149379,0.7965397241685939,0.7559898492656123,0.7012339987538816,0.6823249589496663,0.8924907417831256,0.8694767675249364,true
1299,"[5312, 2181, 3724, 5074, 2054, 426, 2042, 1635, 4901, 169]",790,149119,0.7741070827576847,0.7561741288527626,0.6975232420284023,0.682370992595553,0.8798335540076229,0.8695827326095905,true
1401,"[3227, 1758, 5394, 3475, 4418, 1451, 1147, 235, 4042, 4387]",781,149102,0.8202316646199862,0.755861372487045,0.71140173137609,0.6822417212226218,0.9056664201680363,0.8694028827229899,true
1557,"[3503, 1757, 5605, 2888, 1835, 858, 53, 5530, 438, 3308]",808,149071,0.8216668059877451,0.7558311000684788,0.7118752085967427,0.6822527710743608,0.9064583862416107,0.8693854726578302,true
1617,"[3995, 438, 5543, 2680, 5763, 3259, 5659, 678, 3726, 5453]",695,149206,0.7993658617938835,0.7561470147708291,0.7032423027929454,0.6823992470938424,0.8940726266886172,0.8695671421867487,true
