uid,nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
18,"[94, 559, 745, 835, 1214, 1270, 1443, 2065, 2269, 2440]",86,150419,1.040543540959519,0.7576608439773458,0.8201308031538483,0.6832331332954844,1.0200703607886659,0.8704371568225622,true
19,"[986, 1026, 1295, 1452, 2234, 2687, 3764, 4025, 4061, 4692]",83,150410,0.9722782583673649,0.7578134826301233,0.7789570475759655,0.6833118093665687,0.9860417122857252,0.8705248317136757,true
24,"[153, 614, 688, 741, 747, 782, 841, 860, 1037, 1045]",88,150392,1.0232128984883504,0.7576500579675227,0.7539520472171862,0.6832522737087781,1.0115398650020426,0.8704309610575228,true
28,"[399, 675, 708, 740, 841, 947, 992, 1123, 1240, 1412]",56,150419,0.8381450417988509,0.7577952623826785,0.7518530265235019,0.6832927127396665,0.9155026170355008,0.8705143665573122,true
29,"[43, 61, 104, 114, 167, 171, 280, 283, 290, 320]",75,150403,1.0282829381057546,0.7577961488914404,0.7949274677257122,0.6833125347483509,1.0140428679822933,0.8705148757439131,true
34,"[185, 196, 206, 210, 483, 503, 573, 580, 833, 941]",101,150387,0.9913484993755668,0.7576598720057971,0.8202647271436341,0.6832225321590001,0.9956648529377577,0.8704365984985909,true
44,"[191, 209, 492, 951, 1154, 1174, 1453, 1573, 1653, 1719]",87,150409,1.0919218862339344,0.7576562927083342,0.861076299666193,0.6832310647376201,1.0449506621051228,0.8704345424604507,true
56,"[16, 50, 122, 318, 430, 618, 619, 627, 688, 703]",52,150416,0.8333629439106698,0.7577767462393015,0.7322964967254453,0.6832855705815163,0.9128871474123567,0.8705037313184255,true
72,"[87, 119, 185, 211, 250, 282, 316, 328, 363, 365]",99,150367,0.783380207545767,0.757859475810812,0.6960447581264029,0.6833292419944842,0.8850876835352343,0.8705512482391902,true
78,"[12, 50, 52, 55, 64, 84, 87, 100, 116, 165]",108,150381,0.9710274396440466,0.7577236852344661,0.7584157037680408,0.6832698157453523,0.9854072455812605,0.8704732536008594,true
80,"[54, 61, 81, 102, 128, 153, 160, 206, 269, 345]",73,150396,1.1389846371548522,0.7576297857567029,0.8378506708081176,0.6832340153734864,1.067232232063318,0.870419316052156,true
87,"[39, 55, 63, 72, 78, 89, 106, 119, 176, 246]",117,150349,0.8780286674529808,0.7577954191290511,0.7350627165732955,0.6832952048828848,0.9370318390817789,0.8705144565882011,true
99,"[141, 221, 298, 488, 700, 751, 826, 989, 1039, 1214]",45,150426,0.9750996247070595,0.7577929459163609,0.7849491307927308,0.6833019916610381,0.9874713285493708,0.8705130360404495,true
105,"[27, 30, 43, 61, 88, 98, 104, 196, 197, 203]",83,150389,0.8382573108689053,0.7577663567691887,0.7511360405911949,0.6832738944168074,0.9155639305198219,0.8704977637933303,true
120,"[37, 41, 262, 369, 388, 430, 503, 535, 600, 723]",79,150390,1.140498355758604,0.7576334233812064,0.8612690566717586,0.6832283945515956,1.0679411761696447,0.870421405631322,true
129,"[79, 119, 298, 395, 572, 617, 627, 640, 709, 758]",92,150391,0.8931338911358465,0.7577014471255072,0.7754922166809525,0.6832351205113153,0.945057612601394,0.870460479933183,true
151,"[158, 304, 835, 665, 5174, 4110, 4413, 1612, 4365, 3570]",101,150428,0.8533330854883036,0.7577586745891937,0.7561556365282434,0.6832733118410966,0.923760296553334,0.8704933512607628,true
164,"[11, 31, 95, 108, 113, 122, 126, 127, 141, 165]",113,150349,0.9903914007882016,0.7576510504555807,0.8166724538918497,0.6832139782129388,0.9951841039667996,0.8704315311703619,true
167,"[14, 29, 30, 40, 43, 55, 63, 67, 84, 98]",97,150374,0.9114606479428589,0.7577144481959811,0.754939432144222,0.6832586508599205,0.9547044819957948,0.8704679478280525,true
176,"[16, 87, 112, 122, 142, 171, 191, 219, 234, 254]",83,150386,1.137981759911577,0.7576096968629272,0.8348088270214121,0.6832252786135464,1.066762279006704,0.870407776196265,true
