nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[4, 43, 85, 115, 168, 183, 188, 196, 214, 218]",88,149742,1.172626112952792,0.7583346309360022,0.8334974399364591,0.6837808806082191,1.0828786233705012,0.8708241102174435,true
"[4, 57, 64, 77, 115, 128, 160, 191, 211, 213]",59,149771,1.0657364428268803,0.7584569573110409,0.7994405332099735,0.6838232862656387,1.0323451180815844,0.8708943433683795,true
"[841, 856, 1070, 2045, 2133, 2687, 2834, 3043, 3168, 3980]",48,149782,0.7952232152481337,0.7585662141594235,0.749215107272755,0.6838478727323795,0.8917528891167853,0.8709570679197819,true
"[41, 50, 109, 125, 140, 160, 164, 234, 254, 262]",83,149747,0.8011312766027161,0.7585543717577027,0.7139479755631446,0.6838521420581288,0.8950593704345629,0.8709502693941271,true
"[250, 304, 468, 507, 511, 572, 580, 860, 874, 906]",48,149782,1.4723914610187416,0.7583492049340361,0.9641601403423018,0.6837789902125352,1.2134213864188903,0.8708324781116263,true
"[191, 279, 841, 986, 1028, 1037, 1070, 1144, 1250, 1295]",49,149781,0.8001536364453978,0.7585643564629219,0.7701326892782834,0.6838405932459773,0.8945130722607679,0.8709560014506599,true
"[12, 47, 108, 356, 384, 448, 473, 633, 825, 835]",44,149786,0.8254226549668178,0.7585583219175367,0.761335683789921,0.6838460579003618,0.908527740339731,0.8709525371210172,true
"[25, 50, 68, 98, 104, 105, 174, 179, 213, 218]",90,149740,1.1281652265787003,0.7583558203096473,0.8363756791758085,0.6837771509791942,1.062151225851903,0.8708362764088594,true
"[4, 41, 51, 57, 71, 160, 164, 209, 211, 226]",66,149764,1.1703857786775893,0.7583964767378407,0.8490796548775318,0.6837960066606688,1.0818436941987457,0.8708596194208574,true
"[200, 365, 572, 745, 896, 900, 1045, 1316, 1480, 1615]",60,149770,1.1055676865031123,0.7584389486704181,0.8525123078378627,0.6838012529897847,1.0514597883433832,0.8708840041420086,true
"[141, 209, 221, 657, 860, 871, 1076, 1192, 1371, 1424]",60,149770,1.5116881728410514,0.7582762510061308,0.9655099320718931,0.6837559845284503,1.2295072886490146,0.870790589640317,true
"[14, 124, 191, 209, 304, 448, 492, 511, 684, 815]",49,149781,0.8108883058038583,0.7585608446770574,0.7705415108524635,0.6838404595023307,0.9004933679954885,0.870953985395932,true
"[153, 503, 1258, 1477, 1534, 1539, 2708, 3392, 3632, 4008]",55,149775,1.0522864981193423,0.7584701027952738,0.7904475734913274,0.6838296763959828,1.0258101667069508,0.8709018904533815,true
"[21, 38, 69, 110, 112, 126, 174, 179, 191, 226]",92,149738,1.0595450034252054,0.7583930416009536,0.8317991508350535,0.6837779246208279,1.0293420245113891,0.8708576471507576,true
"[12, 39, 50, 57, 60, 63, 85, 109, 179, 205]",107,149723,1.047841451042908,0.758371234668669,0.8230053456971697,0.6837693796327934,1.0236412706817306,0.8708451266836538,true
"[4, 52, 61, 77, 98, 105, 113, 115, 122, 145]",79,149751,0.9208209672595191,0.7584923676445912,0.7838327935381217,0.6838160787444547,0.9595941679999515,0.8709146729987911,true
"[3, 7, 62, 69, 119, 131, 140, 142, 178, 191]",192,149638,0.772547702170513,0.7585600331783501,0.7030085444900389,0.6838442558588611,0.878946927960109,0.8709535195280803,true
"[50, 68, 74, 78, 79, 89, 141, 171, 189, 218]",74,149756,1.283374626701912,0.7583186361894197,0.8648270198729447,0.6837793958123864,1.132861256598491,0.8708149264851974,true
"[3, 8, 45, 56, 60, 72, 95, 111, 116, 196]",141,149689,0.9684476684473176,0.7583802703091584,0.7722606508566635,0.683785553026472,0.9840973876844291,0.8708503145254978,true
"[61, 106, 124, 194, 269, 382, 507, 519, 625, 629]",98,149732,0.9223044797138337,0.7584707982565297,0.7776540388339322,0.6838074312968813,0.9603668464257987,0.8709022897297548,true
"[153, 282, 364, 1037, 1318, 1452, 2210, 2413, 3034, 3168]",41,149789,0.8643345449900313,0.7585490101890933,0.7557241197491457,0.6838491458641196,0.9296959422252156,0.8709471913894052,true
"[13, 25, 42, 52, 83, 98, 100, 102, 152, 164]",118,149712,0.9647705174701315,0.7584154408631053,0.7823125431464759,0.6837912226051289,0.9822273247421553,0.870870507517108,true
"[46, 189, 821, 1154, 1277, 1416, 1454, 1456, 1713, 1864]",44,149786,1.540427161899649,0.7583482876132288,1.0022768965094548,0.6837752808360189,1.2411394611000204,0.8708319514195771,true
"[304, 821, 1615, 3291, 4106, 4912, 784, 5152, 1975, 2613]",47,149783,1.2216453902648248,0.7584326530395058,0.9592042435746887,0.6837824172256021,1.1052806839282159,0.8708803896285102,true
"[185, 254, 384, 683, 738, 1154, 1247, 1612, 1615, 1772]",46,149784,0.9727954162485751,0.7585121696203283,0.7214149091811461,0.6838572832407201,0.9863039167764545,0.8709260414181725,true
"[41, 57, 66, 87, 145, 158, 159, 197, 210, 254]",79,149751,1.526545948861155,0.7581728220419139,0.9977387120758062,0.6837032343055897,1.2355346813672026,0.8707311996488434,true
"[46, 488, 592, 745, 821, 1674, 2182, 3043, 3488, 4664]",47,149783,1.366970314390891,0.7583870519270033,0.9056290026130075,0.6837992284546813,1.1691750572052462,0.8708542081927395,true
"[1, 16, 54, 57, 87, 108, 112, 122, 142, 170]",82,149748,0.982285659279226,0.7584554583667081,0.7571487394867125,0.6838286868746992,0.9911032535912825,0.8708934827903514,true
"[1, 43, 81, 89, 93, 120, 121, 122, 124, 135]",103,149727,0.7939623164960136,0.7585536161477862,0.6959422560987109,0.6838605084344986,0.8910456309841901,0.8709498356092538,true
"[535, 835, 841, 856, 947, 951, 986, 1238, 1539, 1893]",47,149783,0.9470612132272502,0.7585188140612554,0.7854904009242121,0.6838369264195998,0.9731707009704157,0.8709298559937277,true
