nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[3518, 1586, 4809, 1383, 4408, 3476, 3380, 1034, 3963, 3013]",743,149259,0.8300995159470091,0.7547100749406933,0.7206388996056993,0.6813506288324915,0.9110979727488198,0.8687405107054081,true
"[2088, 1219, 181, 1636, 1356, 648, 2786, 5184, 5596, 4028]",472,149530,1.1445185292062796,0.7538542250393648,0.8524757445204233,0.6810056822035861,1.0698217277688276,0.8682477901148755,true
"[4979, 549, 1941, 1137, 4411, 3729, 4115, 1969, 5890, 3259]",1026,148976,0.8896308286791917,0.754156869466872,0.7465616655334302,0.6810974649774365,0.9432024325027961,0.8684220572203771,true
"[4888, 4861, 3311, 635, 5954, 3080, 4809, 195, 5948, 5107]",795,149207,0.8125387753338961,0.7547773676136584,0.7112401483999837,0.6813870146396476,0.9014093272947069,0.8687792398611159,true
"[3140, 2595, 1812, 2303, 791, 2664, 1941, 3516, 4819, 4959]",723,149279,0.7912502884038203,0.7549083331038229,0.6949940994791507,0.6814800975180196,0.8895225058444672,0.8688546098766023,true
"[4482, 1489, 673, 588, 1029, 1701, 1797, 499, 3224, 4116]",733,149269,0.7839545108649069,0.7549417250698911,0.6840275629693474,0.6815330444208735,0.88541205710387,0.868873825747957,true
"[3391, 1613, 3624, 2777, 3650, 3590, 1420, 2015, 4386, 3976]",986,149016,0.7742614326095685,0.7549566036087973,0.6724708884192856,0.6816052767174966,0.8799212650058916,0.868882387673267,true
"[4682, 2304, 5615, 1530, 1767, 5042, 3878, 3031, 1019, 1242]",825,149177,0.7644653777551497,0.7550316139838821,0.6816514912401757,0.6815446465007524,0.8743371076164785,0.8689255514621964,true
"[2368, 5954, 5643, 696, 4626, 4796, 235, 1968, 3539, 1897]",875,149127,0.8423760407689074,0.7545713115683195,0.7274142747033849,0.68127609836549,0.9178104601544413,0.868660642350233,true
"[4948, 3018, 475, 4354, 3391, 549, 1613, 1697, 2457, 1904]",967,149035,0.866603061668876,0.754359914485106,0.7089861241646507,0.6813671864276758,0.930915174260725,0.8685389539249843,true
"[3557, 2403, 3970, 477, 940, 4977, 272, 2232, 2941, 1297]",438,149564,0.7872435888925152,0.754989317776916,0.6738189023206927,0.6815678607960433,0.8872674844107132,0.8689012128987483,true
"[4531, 1842, 3013, 3371, 4344, 1974, 1611, 5787, 2244, 1926]",809,149193,0.7700838818770346,0.755002159320364,0.6775882953800096,0.6815666906647996,0.8775442335728921,0.8689086023974927,true
"[2015, 533, 5788, 5664, 1790, 3834, 4028, 3652, 543, 2507]",900,149102,1.0051696334415308,0.7535739449894986,0.7824477604176238,0.6809361727336991,1.0025814846891652,0.8680863695448159,true
"[3501, 5795, 1943, 3356, 3394, 4458, 4167, 1211, 4021, 3916]",777,149225,0.7769664964891992,0.754969556362201,0.7000589151087079,0.68144883521043,0.881457030427008,0.8688898413275419,true
