uid,nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
4,"[396, 502, 44, 158, 151, 485, 501, 491, 539, 482]",128,15170,1.2907301985650905,0.7732807687920636,0.90413140553594,0.6756837360747073,1.1361030756780348,0.8793638432367251,true
20,"[14, 30, 46, 99, 193, 197, 252, 270, 386, 516]",116,15191,1.061408335783859,0.7741498107647865,0.8464610903185134,0.675833413037603,1.0302467353910223,0.8798578355420758,true
38,"[25, 30, 85, 106, 114, 157, 248, 250, 333, 342]",71,15207,0.8977456253210593,0.775227076044382,0.7114066229626209,0.6767685190654972,0.9474943932926776,0.8804698041638804,true
59,"[37, 139, 162, 277, 331, 505, 564, 568, 285, 413]",144,15136,0.8767895191321706,0.7741264243270608,0.736010890609379,0.6760871246216534,0.9363703963347895,0.8798445455460077,true
82,"[55, 184, 315, 398, 508, 595, 189, 521, 157, 281]",93,15207,0.8367433434687833,0.7746163856179401,0.7186186538605049,0.676277401276527,0.9147367618439654,0.8801229377865004,true
109,"[106, 127, 143, 154, 188, 248, 271, 281, 355, 371]",76,15205,0.7775874909566773,0.7749608527859998,0.7029102432882247,0.6764135050891626,0.8818092146018193,0.8803186086786987,true
111,"[289, 576, 99, 521, 277, 389, 440, 118, 150, 146]",164,15209,0.9067267922538744,0.7759021703350067,0.7166776647825824,0.6768888311194594,0.9522220288640011,0.8808530923684191,true
127,"[39, 85, 109, 161, 245, 266, 314, 315, 404, 408]",145,15123,0.8820943225636579,0.7745535244962585,0.7458955718282463,0.676148897405568,0.9391987662703023,0.8800872255045283,true
158,"[14, 40, 50, 58, 61, 78, 80, 134, 155, 187]",205,15064,0.8617766722798492,0.7740995656981021,0.7337262103446043,0.6758667174548421,0.9283192728150425,0.8798292821326772,true
182,"[175, 506, 533, 550, 152, 358, 473, 110, 338, 397]",201,15213,0.8147541044979364,0.7762580905353771,0.7062337267746418,0.6770940884978843,0.9026373050666233,0.8810551007373927,true
192,"[22, 79, 114, 143, 154, 155, 188, 238, 276, 342]",91,15176,1.0747481711606037,0.7736448997767298,0.804464486050946,0.6759858084645479,1.0367006179030684,0.8795708611457804,true
194,"[7, 32, 34, 70, 150, 151, 179, 245, 269, 311]",106,15161,1.0415317887372422,0.7735002246317352,0.7966775967043978,0.6758573434135997,1.0205546475996483,0.8794886154076897,true
199,"[388, 451, 506, 582, 320, 338, 521, 272, 516, 547]",95,15214,0.8500197277047092,0.7752005162728184,0.7449111989900754,0.6766227695294496,0.9219651445172475,0.8804547213075857,true
314,"[9, 25, 77, 106, 127, 148, 157, 207, 250, 342]",70,15215,0.8391361995402324,0.774644008199132,0.6785614172949158,0.6764599795628154,0.9160437759955757,0.8801386301027424,true
326,"[44, 164, 206, 218, 270, 299, 306, 342, 350, 364]",105,15182,0.8109790863836326,0.7752468474465901,0.7348087271318577,0.6764291783034915,0.9005437726083239,0.8804810318494034,true
411,"[36, 60, 101, 146, 154, 157, 190, 218, 281, 311]",64,15217,0.8635385551864438,0.77473261473574,0.7432290726018964,0.6763090189497322,0.9292677521502852,0.8801889653567239,true
423,"[22, 31, 35, 143, 154, 188, 213, 214, 224, 234]",106,15160,1.1884609335236456,0.772610105964202,0.8792116644352701,0.6753666554002548,1.0901655532641112,0.8789824264251259,true
463,"[113, 145, 194, 258, 297, 299, 345, 369, 454, 500]",95,15170,0.972121358233454,0.7741746618419862,0.7656048835255679,0.6761590777290807,0.9859621484790652,0.8798719576404207,true
551,"[60, 150, 225, 281, 431, 521, 544, 571, 595, 100]",114,15174,0.9418159639420661,0.7749699112535618,0.7288183898235142,0.6766089910519426,0.9704720315094434,0.8803237536574609,true
