nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[92, 280, 605, 983, 1631, 646, 307, 1813, 712, 801]",153,154616,0.9837530054798557,0.6081912954614105,0.7178295101523289,0.5870072416934428,0.9918432363432518,0.779866203564054,true
"[950, 540, 34, 399, 453, 1612, 1554, 39, 546, 314]",249,154520,0.6139607151002041,0.608553865718612,0.590371130754188,0.5871313563627288,0.783556453039731,0.7800986256356385,true
"[1271, 167, 746, 221, 846, 1598, 739, 460, 1721, 1640]",45,154724,1.3216954578961093,0.6083551566227254,0.9794538919021254,0.5870224669191015,1.149650145868781,0.779971253715626,true
"[763, 34, 1271, 746, 540, 1093, 1553, 1643, 983, 1638]",41,154728,0.845521741347095,0.6084997748145432,0.704187399791864,0.5871055524102632,0.9195225616302707,0.7800639555924522,true
"[540, 149, 1600, 34, 568, 646, 1106, 280, 474, 1643]",38,154731,1.0807475013312682,0.6084466018047404,0.7893119891444321,0.5870869169147692,1.039590064078754,0.7800298723797316,true
"[815, 92, 480, 70, 826, 763, 770, 179, 1148, 1115]",130,154639,0.7965774895159733,0.60840450646514,0.6755864922549414,0.58706221168485,0.892511898809183,0.7800028887543559,true
"[167, 1728, 1643, 219, 1813, 426, 826, 1148, 1097, 894]",62,154707,1.4035009563424743,0.6082439869534452,0.9203102224421748,0.5870030468106501,1.1846944569560856,0.779899985224673,true
"[281, 1731, 167, 1403, 953, 219, 1640, 196, 1510, 223]",81,154688,0.6707901970710379,0.6085299799786481,0.6461560761598951,0.5871056640111562,0.8190178246357267,0.7800833160494128,true
"[674, 399, 1600, 1070, 138, 152, 139, 149, 1612, 1280]",42,154727,0.7430928817541153,0.608526046830005,0.6748645405402246,0.5871127552788069,0.8620283532193794,0.7800807950654887,true
"[1070, 674, 149, 950, 676, 187, 540, 536, 1115, 183]",42,154727,0.7797487019150078,0.6085160967602257,0.6612216121016973,0.5871164585949342,0.8830338056467645,0.7800744174501723,true
"[1094, 1388, 617, 39, 1717, 167, 700, 421, 5, 1647]",261,154508,0.8808361731586188,0.6081026309816028,0.7148081937410057,0.5869209015595326,0.9385287279346428,0.7798093555360841,true
"[149, 1728, 110, 161, 1106, 968, 47, 138, 187, 746]",46,154723,1.2356325547781437,0.6083761331630081,0.8872027952433796,0.5870473573298441,1.1115901019612147,0.779984700595472,true
"[325, 1545, 347, 1762, 661, 480, 1378, 95, 980, 390]",339,154430,0.7850634372004364,0.6081751152217115,0.6954584650959054,0.5868987837664905,0.8860380562935412,0.7798558297670868,true
"[427, 846, 536, 1014, 894, 592, 983, 1600, 806, 256]",61,154708,0.9708993053138928,0.6084196983431738,0.7685503496318391,0.5870650388176378,0.9853422275097585,0.7800126270408536,true
"[815, 1402, 92, 1165, 605, 1426, 215, 1072, 59, 1657]",139,154630,0.704644575374731,0.6084761944831069,0.6272680246822459,0.587100493703006,0.8394311022202662,0.7800488410882404,true
"[92, 1535, 426, 183, 1594, 39, 179, 1167, 436, 74]",147,154622,0.6536395047842531,0.6085197096253869,0.5982635373153664,0.5871259902002385,0.808479749149138,0.7800767331650054,true
"[149, 674, 399, 592, 1600, 1271, 57, 480, 272, 481]",50,154719,0.9207454237611618,0.6084616774779558,0.7646860987552071,0.5870791906087093,0.959554804980498,0.7800395358428672,true
"[950, 1070, 540, 460, 99, 1014, 489, 645, 161, 1380]",81,154688,1.0299554235402604,0.6083419086134226,0.780655446724683,0.5870352354774899,1.0148671950261572,0.7799627610427453,true
"[149, 568, 152, 592, 256, 139, 894, 1159, 460, 1643]",39,154730,1.0898442962313892,0.6084412565200469,0.845904953693352,0.5870713455925329,1.0439560796467393,0.7800264460388807,true
"[34, 1600, 1168, 1387, 149, 256, 1271, 983, 25, 676]",43,154726,1.2551004990002468,0.6083828847604338,0.9347141289666318,0.5870399731731001,1.1203126791214348,0.7799890286154246,true
"[918, 645, 1721, 712, 536, 1510, 1612, 616, 1484, 1380]",68,154701,0.7720275008111743,0.6084907122697636,0.6831015741878316,0.5870943865242104,0.8786509550505106,0.7800581467235398,true
