nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[216, 1384, 407, 1091, 421, 12, 660, 1316, 395, 1142]",935,153816,0.6632803277257264,0.6061311819571649,0.6095443913827524,0.5861423899574139,0.8144202402480715,0.7785442710322675,true
"[1478, 813, 619, 1563, 819, 1756, 1163, 29, 88, 1288]",1348,153403,1.107999834940652,0.6020694328849293,0.7828561625427236,0.5845564412203469,1.052615710950892,0.7759313325835794,true
"[12, 1215, 413, 1621, 197, 375, 128, 951, 1272, 1524]",1403,153348,0.7342122722095161,0.6053078042911344,0.655721103068964,0.5856484933095096,0.8568618746387986,0.7780152982372097,true
"[1208, 1196, 1353, 798, 1559, 1366, 934, 539, 1364, 1748]",875,153876,0.8082377653298897,0.6053291802859653,0.6446834873065488,0.585951700123731,0.8990204476706243,0.7780290356316821,true
"[453, 669, 1230, 422, 115, 28, 1287, 1499, 192, 254]",2103,152648,0.7136148304206668,0.605000452033254,0.6537731389145168,0.5853539970945916,0.8447572612417527,0.7778177498831291,true
"[1630, 1033, 1454, 699, 336, 52, 830, 1431, 585, 1479]",1150,153601,0.64223009925739,0.6062087901524132,0.6205676581045582,0.5860271030319608,0.8013925999517278,0.778594111300884,true
"[1783, 201, 1301, 429, 1787, 54, 1675, 708, 158, 1525]",974,153777,0.6300832201996405,0.6063269535357847,0.6075993250491599,0.5861487746349232,0.7937778153864219,0.7786699901343217,true
"[495, 1190, 1171, 1693, 555, 164, 125, 1003, 263, 1205]",1414,153337,0.7507948405605565,0.6051456405550794,0.6719559355290478,0.5854937566718691,0.8664841836759379,0.7779110749662068,true
"[12, 1554, 910, 160, 1684, 1742, 475, 636, 1279, 1389]",1159,153592,0.7868276666919942,0.6051155511006486,0.6586152714892014,0.585737973071361,0.8870330696721482,0.7778917348196012,true
"[1288, 970, 658, 908, 1390, 344, 1266, 932, 1222, 631]",1245,153506,0.6967120566199392,0.6057446254860069,0.6390856734839269,0.585855537869171,0.8346927917622982,0.7782959755041824,true
"[315, 1109, 209, 1420, 660, 1127, 1478, 432, 241, 1308]",1607,153144,1.2503578011349494,0.5997199759959447,0.8548105111973235,0.5834660278439793,1.1181939908329634,0.7744158934293283,true
"[488, 1195, 303, 1478, 12, 780, 297, 944, 543, 1109]",2384,152367,0.685191088891796,0.6052448721470447,0.5639206160165406,0.5866336878132995,0.8277627008338779,0.7779748531585354,true
"[1362, 1396, 1091, 54, 821, 1666, 1742, 239, 1087, 417]",1778,152973,0.8154863709908093,0.6040471601048889,0.6753676897851101,0.5852483647911365,0.9030428400639747,0.7772047092657692,true
"[669, 761, 1763, 1300, 497, 859, 1346, 28, 828, 77]",2631,152120,0.6788641197379157,0.6052244904767049,0.6397168418539154,0.585359629560313,0.8239321086945912,0.7779617538649988,true
"[1358, 27, 102, 1249, 1311, 1471, 400, 800, 781, 406]",1288,153463,0.682729206204437,0.605836493309498,0.6394576218167444,0.585837501174436,0.8262742923535967,0.7783549918318106,true
"[1650, 631, 1325, 622, 27, 1660, 520, 658, 660, 1454]",1321,153430,0.6152190087567952,0.6064012036745037,0.5822949843164196,0.586318126737603,0.7843589795220013,0.7787176662144655,true
"[1022, 1497, 1416, 597, 123, 131, 549, 1063, 1231, 1726]",838,153913,0.6356113582863229,0.6063178462644668,0.5990711535117396,0.5862141614612776,0.797252380546037,0.7786641421463215,true
"[1539, 976, 1120, 1689, 655, 1540, 1277, 654, 1760, 378]",1126,153625,0.6975602157108871,0.6058088734740855,0.6443962871083806,0.5858578463163445,0.8352007038496119,0.7783372491883487,true
"[103, 1144, 203, 965, 1176, 1499, 515, 1495, 1523, 257]",1212,153539,0.654399599254114,0.6060981814135226,0.6126733501052887,0.5860754711135596,0.8089496889511201,0.7785230769948458,true
"[72, 538, 1589, 514, 1540, 907, 369, 270, 1239, 941]",1280,153471,0.6353665005474792,0.6062355224742527,0.6165894490725344,0.5860310245246307,0.7970988022494321,0.7786112781576264,true
"[72, 720, 1593, 114, 570, 535, 908, 850, 1138, 1504]",1217,153534,0.7579230328908966,0.6052760213328554,0.6520448701308816,0.5857625233022207,0.8705877514018312,0.7779948723049885,true
"[658, 1258, 1733, 591, 1552, 1211, 1812, 910, 1567, 279]",1033,153718,0.8011489501272171,0.6051682569696809,0.6685277427295221,0.5857310965624902,0.8950692432025676,0.777925611462742,true
"[1383, 762, 1440, 825, 1441, 27, 1015, 1002, 995, 1636]",1211,153540,0.6200538844267784,0.606369387366849,0.5992439058160615,0.5861815649973245,0.7874350033029891,0.778697237292421,true
"[353, 1654, 794, 1806, 798, 1055, 1289, 122, 810, 618]",1037,153714,0.6861172938684184,0.6059391945860836,0.6410248979008502,0.5859144843053286,0.8283219747588605,0.7784209623244248,true
"[831, 591, 1042, 1321, 1509, 1759, 320, 898, 1286, 321]",1479,153272,0.8872817976422226,0.6037668407252073,0.728951813532347,0.5849071071521094,0.941956367164755,0.7770243501494707,true
"[919, 923, 630, 1547, 1297, 809, 631, 1125, 834, 1239]",1653,153098,0.6300311945744325,0.6062221546049935,0.5706619284589179,0.5864524532775729,0.7937450438109409,0.778602693679513,true
"[1342, 1702, 190, 1818, 569, 938, 1157, 175, 625, 1647]",671,154080,0.6656531399617451,0.6062187677403459,0.6123612295208585,0.5861702198508824,0.8158756890370893,0.7786005187131241,true
"[1691, 1689, 1445, 562, 192, 1256, 1595, 1301, 1777, 1222]",769,153982,0.7003085157244886,0.6060078693727493,0.6468033941896891,0.5859815436187386,0.8368443796336859,0.7784650726736231,true
"[539, 1596, 544, 487, 1509, 1305, 297, 1382, 334, 1725]",1737,153014,0.7693433245468323,0.6046276264629967,0.6501441737375578,0.58555884709798,0.8771221833626329,0.7775780516854862,true
"[488, 1509, 1478, 1817, 315, 41, 928, 1366, 1127, 1559]",2465,152286,0.8145646343527675,0.6031082250940155,0.6237237423308597,0.5856777565553425,0.9025323453221871,0.7766004282087511,true
"[1391, 660, 1718, 1559, 3, 1091, 951, 158, 1020, 1659]",1218,153533,0.6727249668365953,0.6059509159642543,0.6150326695149877,0.5860557148506392,0.8201981265746682,0.7784284912336228,true
"[701, 337, 1702, 362, 1120, 880, 1771, 1287, 1560, 16]",921,153830,0.6773461936941249,0.6060521689264415,0.6273653876644064,0.5860378231657903,0.8230104456774074,0.7784935252951315,true
