uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
9,"[171, 226, 447, 892, 1080, 1154, 1282, 1310, 1410, 1438]",72,249919,0.603030303030303,0.723022060043135,0.39801601906865064,0.24081401774218192,0.4795296986589551,0.36129348383657045
13,"[79, 89, 106, 141, 152, 276, 280, 345, 619, 799]",85,249908,0.48787878787878786,0.7232321556919434,0.2733044733044733,0.24104155580876113,0.35034783857532675,0.3615757682486252
15,"[304, 507, 580, 821, 1192, 1214, 1226, 1518, 1619, 2111]",82,249887,0.5712121212121213,0.7230801127882005,0.3558080808080808,0.24089102675211166,0.4384842706553412,0.3613873977111909
26,"[196, 356, 821, 900, 989, 1456, 1487, 1573, 1604, 2295]",64,249854,0.606060606060606,0.7230165312102717,0.3761516261516262,0.2408539096516341,0.464198418711768,0.3613376879345675
36,"[986, 1562, 488, 5928, 5101, 2213, 3286, 3325, 2442, 1382]",85,249842,0.5757575757575757,0.7230718195389054,0.3408186749958902,0.24091837514553247,0.42817808977100164,0.36141713647587786
48,"[304, 1250, 5725, 4664, 1927, 94, 3122, 1615, 1477, 5224]",66,249817,0.7742424242424242,0.7227096809863538,0.4068683349171154,0.2407978665605045,0.5334211436662649,0.3612362970424439
59,"[79, 124, 325, 782, 835, 841, 986, 1270, 1614, 2647]",76,249884,0.45454545454545453,0.7232929728534406,0.3234848484848485,0.24095000096932104,0.377976453925821,0.36148034725980527
73,"[46, 599, 821, 826, 902, 986, 1028, 1039, 1095, 1226]",81,249875,0.6787878787878788,0.7228838392215504,0.25647382920110195,0.24107226356877723,0.3722836613558263,0.36156676204234267
80,"[54, 61, 81, 102, 128, 153, 160, 206, 269, 345]",124,249887,0.7454545454545454,0.7227622048985559,0.43183015930051505,0.24075232334136076,0.5468681514585789,0.3611916062553112
92,"[835, 1382, 2204, 2982, 3814, 4211, 5258, 5391, 5577, 5999]",63,249846,0.27575757575757576,0.7236191739923802,0.2541125541125541,0.24107657175022923,0.2644929689047336,0.36166352031443505
