uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
8,"[13, 25, 168, 252, 260, 267, 316, 427, 467, 487]",138,23998,0.5,0.5996661101836402,0.2386771561771562,0.1748883960452607,0.3231143053243608,0.2707999071190588
11,"[48, 110, 118, 152, 228, 280, 293, 309, 311, 355]",133,24002,0.6863636363636364,0.596243739565944,0.22516544757924067,0.17513652424989684,0.3390903880223712,0.2707459888506307
17,"[85, 120, 194, 206, 257, 269, 270, 281, 289, 451]",76,24051,0.29545454545454547,0.6034223706176969,0.10454545454545454,0.17735158255268757,0.15444214876033058,0.2741328958072681
29,"[34, 120, 176, 238, 248, 289, 299, 396, 450, 501]",103,24034,0.4818181818181818,0.6000000000000009,0.2016266561721107,0.1755687892006121,0.2842874317950615,0.2716490786818376
31,"[5, 12, 108, 118, 127, 168, 188, 208, 257, 293]",87,24055,0.4848484848484848,0.599944351697274,0.24431818181818182,0.17478480458941545,0.32491145218417944,0.2707040400506821
34,"[2, 29, 44, 148, 154, 157, 180, 191, 205, 257]",96,24037,0.34848484848484845,0.6024485253199785,0.0914141414141414,0.1775927251978369,0.1448352642382493,0.2743200448231923
39,"[35, 88, 90, 206, 236, 283, 355, 366, 388, 389]",73,24053,0.8181818181818182,0.5938230383973297,0.25826118326118325,0.17452875614889288,0.39259785089068905,0.2697701677790706
40,"[9, 85, 238, 250, 267, 295, 342, 348, 351, 365]",187,23945,0.5909090909090909,0.5979966611018371,0.17959313413858868,0.17597341147501736,0.2754650465046505,0.2719265672751467
44,"[34, 38, 47, 79, 101, 172, 176, 180, 193, 246]",199,23935,0.7257575757575757,0.5955203116304961,0.33086219336219336,0.17319551556273077,0.4545168477482105,0.2683474016074757
47,"[44, 55, 60, 77, 79, 149, 161, 183, 188, 208]",124,23985,0.5621212121212121,0.5985253199777415,0.2392955529319166,0.174877039844422,0.3356882763998262,0.27066981345572927
51,"[2, 65, 293, 433, 506, 519, 545, 296, 423, 197]",61,24003,0.6181818181818182,0.5974958263772963,0.3077369439071567,0.17362018625389172,0.4109159276069659,0.26905766437809653
