uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
2,"[33, 34, 51, 60, 93, 143, 148, 240, 313, 341]",30,1759,0.6203703703703705,0.6833333333333333,0.8055555555555556,0.8261466549810113,0.700937950937951,0.7479841428050721
9,"[24, 27, 32, 40, 61, 88, 97, 106, 144, 186]",24,1768,0.8484848484848485,0.6784394250513348,1.0,0.8218392490466416,0.9180327868852458,0.743286107086812
10,"[56, 136, 146, 162, 179, 192, 225, 315, 384, 478]",25,1766,0.48750000000000004,0.6853741496598641,0.8083333333333333,0.8260592808551998,0.6081993569131833,0.74916918701717
35,"[23, 24, 39, 103, 141, 166, 178, 246, 260, 276]",35,1756,0.8318181818181819,0.6788158795345655,0.9696969696969698,0.8225237117434246,0.8954813059102379,0.743791957620819
50,"[127, 151, 172, 194, 337, 383, 575, 250, 253, 9]",16,1777,0.8333333333333334,0.6803523035230353,0.7708333333333334,0.826444541231127,0.8008658008658008,0.7463161995834571
52,"[127, 162, 172, 185, 273, 281, 287, 311, 402, 410]",3,1788,1.0,0.6796221322537114,1.0,0.8243637941006366,1.0,0.7450280879389487
59,"[26, 154, 157, 163, 191, 250, 331, 342, 413, 442]",13,1778,0.8571428571428571,0.6797012898845894,1.0,0.8232906604597037,0.923076923076923,0.7446370204926372
62,"[163, 253, 451, 485, 145, 345, 46, 568, 411, 458]",26,1763,0.7851851851851852,0.6802999318336743,1.0,0.8225679228746717,0.8796680497925311,0.7447000747365159
67,"[23, 36, 71, 101, 108, 109, 118, 172, 188, 207]",18,1773,0.5833333333333334,0.6834010840108402,0.8333333333333334,0.8256823461091758,0.6862745098039216,0.74783434648772
74,"[13, 27, 69, 94, 100, 109, 134, 142, 230, 258]",25,1765,0.6433333333333333,0.6829918032786888,0.8,0.8263026932084313,0.7131639722863742,0.74784340339411
79,"[44, 47, 48, 138, 139, 205, 236, 324, 331, 418]",12,1780,0.6458333333333334,0.6827891156462588,0.75,0.8270116618075806,0.6940298507462686,0.7480120153958593
99,"[22, 36, 71, 83, 95, 110, 111, 168, 183, 312]",33,1755,0.6833333333333333,0.682172131147541,0.95,0.8232289227166281,0.7948979591836735,0.7460919828511926
107,"[22, 61, 183, 208, 211, 212, 215, 216, 260, 280]",23,1768,0.75,0.6808060109289619,1.0,0.8222043325526937,0.8571428571428571,0.7448540247794255
113,"[48, 56, 61, 73, 87, 88, 118, 119, 157, 176]",22,1770,0.9111111111111112,0.6779822767552832,0.9407407407407408,0.8236585840880324,0.9256888888888889,0.7437542979423553
