uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
3,"[95, 183, 91, 362, 524, 313, 580, 244, 522, 271]",509,22486,0.9090909090909091,0.9009698704189522,0.19886808792501462,0.28485602101156837,0.32634632026608124,0.4328572924466095
12,"[5, 18, 24, 31, 83, 115, 116, 136, 160, 170]",380,22617,1.0,0.8993004213371492,0.3048227445954719,0.28291027606436475,0.4672247565549214,0.4304162211093297
40,"[9, 85, 238, 250, 267, 295, 342, 348, 351, 365]",169,22810,0.8181818181818182,0.9026393195007552,0.22883059922533608,0.2843057912548013,0.35763670538591863,0.43241356929302516
45,"[158, 278, 315, 421, 333, 154, 576, 88, 92, 214]",70,22835,0.7272727272727273,0.9043087685825582,0.18253968253968253,0.2851558748667248,0.2918318794607454,0.4335882692688126
53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",293,22707,0.6909090909090909,0.9049765482152794,0.19299888445195468,0.28496380271140764,0.30171621372395024,0.4334428332365343
66,"[245, 146, 207, 519, 383, 478, 296, 505, 548, 315]",63,22857,0.8181818181818182,0.9026393195007552,0.1677552839317545,0.285427374674216,0.27842409606587537,0.4337096099166939
68,"[320, 546, 175, 544, 293, 92, 531, 529, 180, 392]",61,22644,0.5454545454545454,0.9076476667461643,0.15758589236850107,0.28561412476970144,0.24452630792638577,0.4345014577356817
72,"[158, 161, 216, 258, 272, 293, 341, 516, 539, 546]",115,22879,0.8181818181818182,0.9026393195007552,0.19731137918499336,0.2848846083173117,0.3179471480225518,0.4330827244218248
79,"[44, 47, 48, 138, 139, 205, 236, 324, 331, 418]",192,22797,0.7272727272727273,0.9043087685825582,0.22494744723126095,0.2843771012246423,0.3436141090502212,0.43268741179407605
82,"[147, 154, 158, 207, 245, 252, 281, 289, 320, 545]",58,22893,0.6363636363636364,0.9059782176643612,0.19713804713804714,0.2848877913766046,0.3010227502249316,0.43346964562968543
87,"[27, 113, 137, 232, 253, 282, 286, 292, 306, 354]",583,22417,0.9090909090909091,0.9009698704189522,0.18774055378352797,0.2850603663797761,0.31121140574326583,0.43309317653146917
115,"[12, 138, 143, 214, 250, 271, 289, 320, 358, 396]",80,22897,0.6363636363636364,0.9059782176643612,0.23468122786304607,0.2841983506621222,0.3429044947800667,0.43267112132456403
135,"[146, 175, 184, 281, 289, 550, 576, 595, 250, 138]",70,22865,0.6363636363636364,0.9059782176643612,0.21738816738816738,0.28451591938536697,0.32407058841606295,0.4330390507939557
138,"[15, 23, 27, 58, 79, 84, 115, 140, 195, 230]",463,22536,0.9,0.9011368153271325,0.2160833115579396,0.2845398816794113,0.34849545439520674,0.4325114315858544
141,"[35, 163, 206, 245, 253, 269, 383, 421, 467, 481]",71,22892,0.8181818181818182,0.9026393195007552,0.18102453102453103,0.28518369901808815,0.2964572433848194,0.4334282397311729
144,"[9, 154, 355, 360, 598, 516, 571, 568, 30, 252]",85,22888,0.5454545454545454,0.9076476667461643,0.1990530303030303,0.28485262474085365,0.29166763025831965,0.4336197182646494
167,"[285, 311, 467, 535, 544, 576, 550, 258, 87, 499]",64,22899,0.5454545454545454,0.9076476667461643,0.16825396825396824,0.28541821686529384,0.2571775171856045,0.4342747238743467
182,"[578, 92, 473, 358, 375, 281, 296, 320, 338, 451]",65,22711,0.5454545454545454,0.9076476667461643,0.11800242241418712,0.2863410332329693,0.19402903518288334,0.4353420944639299
199,"[106, 207, 366, 451, 502, 269, 506, 521, 478, 518]",75,22842,0.8181818181818182,0.9026393195007552,0.22098583234946875,0.28444985208223794,0.3479834846892535,0.4325801752082635
200,"[85, 238, 320, 406, 508, 496, 87, 431, 90, 207]",59,22862,0.5454545454545454,0.9076476667461643,0.14004329004329005,0.2859362760644883,0.22286649252231822,0.4348741374601267
220,"[55, 207, 253, 333, 467, 423, 250, 278, 320, 138]",62,22893,0.5454545454545454,0.9076476667461643,0.20082251082251085,0.28482013010693996,0.2935626934698807,0.43358206773570207
233,"[9, 55, 120, 157, 188, 478, 516, 518, 595, 383]",70,22899,0.7272727272727273,0.9043087685825582,0.18207070707070708,0.2851644871040516,0.29123223347050065,0.4335982250020163
234,"[88, 106, 143, 147, 154, 205, 207, 238, 241, 250]",98,22858,0.9090909090909091,0.9009698704189522,0.2430573186212284,0.2840445326348433,0.38356383915174164,0.4319197557459712
236,"[12, 39, 73, 79, 168, 201, 232, 261, 265, 281]",402,22595,0.9090909090909091,0.9009698704189522,0.29226493488489436,0.2831408869271633,0.4423258881741542,0.4308742347326001
249,"[431, 324, 194, 250, 578, 85, 508, 568, 44, 422]",72,22690,0.6363636363636364,0.9059782176643612,0.15556454394838234,0.28565124469060504,0.25001160796485145,0.4343528147196991
274,"[245, 194, 289, 250, 157, 595, 473, 502, 335, 316]",69,22630,0.7272727272727273,0.9043087685825582,0.21404592139886258,0.284577296189845,0.3307482779333848,0.43291910286333146
287,"[52, 102, 120, 134, 138, 173, 188, 205, 228, 269]",105,22862,0.9090909090909091,0.9009698704189522,0.2651064213564214,0.28363962423736905,0.41050312642923736,0.43145147265422346
313,"[2, 184, 281, 406, 556, 568, 35, 55, 575, 333]",71,22852,0.7272727272727273,0.9043087685825582,0.18756555098018513,0.28506358012073896,0.2982195062154129,0.433481567631481
322,"[114, 184, 315, 324, 550, 521, 90, 386, 360, 245]",91,22887,0.7090909090909091,0.9046426583989189,0.22639386757033816,0.28435053924846565,0.34320993216159973,0.43269486865337903
332,"[147, 293, 333, 499, 576, 578, 516, 206, 120, 269]",59,22879,0.7272727272727273,0.9043087685825582,0.2031789106415972,0.2847768573222823,0.31762312933930786,0.4331499827356136
339,"[35, 208, 431, 442, 508, 521, 578, 324, 289, 574]",57,22864,0.45454545454545453,0.9093171158279673,0.19264069264069264,0.28497038052430224,0.27059896625114016,0.4339465083679044
