uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
6,"[99, 105, 126, 157, 221, 258, 272, 283, 341, 470]",7,31864,0.4,0.6790392215469527,0.6,0.8074986834426923,0.48,0.7377185278150503
8,"[59, 72, 92, 111, 189, 258, 280, 360, 369, 495]",25,31846,0.59375,0.6789681748721113,0.875,0.8073414675816526,0.7074468085106383,0.737610989103892
14,"[16, 92, 141, 162, 165, 194, 219, 260, 348, 364]",9,31863,0.738095238095238,0.6788589935226804,0.8571428571428571,0.8073606662395917,0.7931769722814499,0.7375545676483362
16,"[14, 99, 151, 303, 338, 362, 376, 444, 482, 513]",23,31848,0.6433333333333333,0.6789357389686433,0.9,0.8073030587833235,0.7503239740820733,0.7375758183890091
30,"[46, 82, 213, 219, 268, 312, 353, 421, 449, 507]",26,31847,0.4583333333333333,0.6790761411202011,0.5892857142857143,0.8075692645006993,0.5156249999999999,0.7377697704522527
37,"[31, 32, 35, 75, 83, 92, 137, 154, 172, 192]",22,31850,0.6033333333333333,0.6789756113769368,0.8,0.8074027398040572,0.6878859857482185,0.7376409491571225
43,"[29, 96, 123, 170, 216, 242, 270, 305, 383, 403]",6,31864,0.6666666666666667,0.6789063797283482,0.8,0.8073990520787389,0.7272727272727274,0.7375985523734838
45,"[11, 27, 31, 54, 98, 116, 159, 186, 203, 204]",11,31862,0.8666666666666666,0.6788067483643948,1.0,0.8072994207147856,0.9285714285714285,0.7374981762863074
50,"[114, 138, 158, 185, 196, 212, 363, 368, 405, 421]",42,31831,0.85,0.6787638695103413,0.7090773809523809,0.8074737558966198,0.7731698005154146,0.737545600664446
53,"[85, 92, 103, 117, 263, 373, 392, 424, 485, 488]",15,31852,0.5645833333333333,0.6789914291409307,0.75,0.8074411287337355,0.6442155309033282,0.7376663045244096
78,"[28, 107, 125, 151, 272, 280, 285, 288, 302, 308]",16,31856,0.7333333333333333,0.6788514568590416,0.7777777777777778,0.8074219361820295,0.7549019607843137,0.7375756845860085
82,"[13, 23, 30, 34, 39, 75, 86, 108, 129, 135]",17,31856,0.6375,0.6789332934688822,0.875,0.8073414675816526,0.7376033057851239,0.737590405090079
85,"[12, 36, 53, 154, 223, 338, 356, 390, 396, 471]",37,31835,0.58,0.6789988702817747,0.8333333333333334,0.8073695127971461,0.6839622641509434,0.7376408073934408
93,"[48, 88, 126, 148, 168, 187, 213, 223, 252, 291]",23,31850,0.5888888888888889,0.6789810292700852,0.6444444444444444,0.8075415414845314,0.6154154154154153,0.7377020676345025
106,"[35, 62, 69, 225, 276, 292, 318, 333, 383, 390]",15,31857,0.7666666666666667,0.6788215555334162,0.8518518518518519,0.8073554887917508,0.8070175438596491,0.7375303108909379
110,"[71, 111, 164, 187, 196, 265, 314, 368, 435, 443]",38,31833,0.462962962962963,0.6790939898335591,0.5694444444444444,0.8076088194671885,0.5107125062282014,0.7377968105067303
111,"[8, 40, 110, 172, 194, 204, 221, 228, 272, 280]",13,31857,0.5952380952380951,0.6789586447434078,0.7142857142857143,0.8074603174603191,0.6493506493506493,0.7376549637312821
119,"[8527, 1933, 1, 2, 3, 4, 5, 6, 7, 8]",30,31842,0.5333333333333333,0.6790308648127942,0.7142857142857143,0.8074788910879828,0.6106870229007633,0.737705336351856
127,"[32, 72, 177, 187, 213, 363, 396, 505, 536, 556]",24,31847,0.7424242424242423,0.6788306250623167,0.8939393939393938,0.807300463800316,0.8111672278338943,0.7375127033700347
130,"[109, 325, 365, 367, 422, 438, 488, 496, 531, 583]",12,31859,0.4166666666666667,0.6790570612461901,0.5,0.8075791436542749,0.45454545454545453,0.7377626324529118
133,"[180, 255, 287, 357, 396, 502, 540, 581, 773, 814]",45,31828,0.8749999999999999,0.6787439372799248,0.8208333333333333,0.8073846540808886,0.8470515970515969,0.7374966637422066
143,"[25, 116, 166, 172, 276, 338, 350, 388, 395, 396]",22,31847,0.7092592592592593,0.6788730522608821,1.0,0.8072225940111933,0.8299024918743229,0.7375052441947563
148,"[5, 18, 32, 93, 96, 122, 166, 184, 195, 206]",21,31851,0.8916666666666666,0.6787306491263135,0.975,0.8072617386599863,0.9314732142857142,0.7374375379025484
154,"[2, 11, 32, 37, 54, 85, 167, 211, 223, 227]",11,31858,0.5833333333333333,0.6789764799681182,0.75,0.8074411287337355,0.65625,0.7376574822036851
156,"[32, 52, 99, 105, 125, 258, 276, 283, 312, 350]",10,31858,0.72,0.6788798113646273,1.0,0.8072994207147856,0.8372093023255813,0.7375412959886407
158,"[50, 172, 348, 445, 454, 509, 584, 613, 630, 648]",10,31863,0.6666666666666666,0.6789075993091634,0.6666666666666666,0.8074795023629237,0.6666666666666666,0.7376328411675226
165,"[14, 15, 62, 75, 92, 250, 252, 376, 377, 379]",24,31848,0.7777777777777778,0.6788115884248744,1.0,0.8072225940111933,0.8750000000000001,0.7374689730957918
168,"[7, 52, 93, 105, 157, 208, 223, 276, 287, 320]",4,31865,0.5,0.6789715746828815,0.5,0.8075178607007673,0.5,0.7376866063270008
194,"[14, 48, 55, 62, 71, 75, 83, 111, 121, 134]",41,31831,0.8242424242424242,0.6787409032000894,0.9414141414141415,0.807248402966678,0.8789404340891755,0.7374380257820542
195,"[10, 148, 163, 238, 345, 508, 540, 628, 652, 842]",31,31842,0.7041666666666666,0.678880140854438,0.8875,0.8073315014664444,0.7852748691099476,0.7375548782216181
201,"[37, 107, 116, 160, 213, 225, 294, 300, 322, 362]",24,31848,0.40606060606060607,0.6791994816070279,0.6363636363636364,0.8075829215147345,0.49577167019027485,0.7378482560673348
204,"[18, 39, 45, 71, 72, 108, 111, 174, 217, 256]",33,31840,0.8145833333333333,0.6787921068367647,0.975,0.8072617386599863,0.8876018626309662,0.7374738109446518
211,"[28, 67, 73, 138, 154, 183, 269, 292, 301, 340]",39,31834,0.8899999999999999,0.6786898591175005,0.9380952380952381,0.8072650850611394,0.9134149518103672,0.7374148576940378
212,"[18, 50, 52, 59, 60, 68, 99, 122, 137, 145]",24,31848,0.6416666666666667,0.6789299714304795,0.975,0.8072617386599863,0.7739690721649484,0.7375551692883308
218,"[5, 98, 172, 228, 272, 283, 333, 367, 376, 466]",14,31856,0.7142857142857143,0.6788756020594683,0.8571428571428571,0.8073606662395917,0.7792207792207793,0.7375643698963322
221,"[5, 6, 10, 45, 59, 82, 83, 111, 196, 241]",21,31852,0.6041666666666667,0.6789598697761043,0.875,0.8073414675816526,0.7147887323943662,0.7376060882358555
225,"[25, 105, 106, 117, 201, 242, 249, 282, 327, 445]",16,31855,0.4375,0.6790927513122149,0.625,0.8075407898858185,0.5147058823529411,0.7377676900232784
232,"[45, 137, 155, 163, 179, 180, 185, 196, 310, 386]",30,31843,0.6648148148148149,0.6789129206950495,0.8518518518518519,0.8073554887917508,0.7468005245783024,0.7375842336904016
250,"[2, 29, 40, 63, 113, 117, 148, 165, 194, 242]",10,31861,0.78125,0.6788186831439869,0.875,0.8073414675816526,0.8254716981132075,0.737522765098665
255,"[11, 27, 117, 133, 259, 310, 329, 333, 337, 359]",16,31857,0.5833333333333334,0.678957419954839,0.8333333333333334,0.8073798610715726,0.6862745098039216,0.7376206657725763
260,"[14, 38, 90, 103, 114, 145, 147, 189, 213, 238]",23,31850,0.675,0.6789033951232574,0.875,0.8073414675816526,0.7620967741935485,0.7375727608806576
261,"[108, 154, 360, 388, 427, 432, 478, 498, 591, 669]",21,31852,0.55,0.6790030562753403,0.8333333333333334,0.8073746879656803,0.6626506024096386,0.7376454374563782
272,"[6, 62, 78, 82, 111, 164, 189, 218, 221, 292]",15,31858,0.738095238095238,0.6788589935226804,0.8571428571428571,0.8073606662395917,0.7931769722814499,0.7375545676483362
274,"[103, 177, 222, 275, 366, 368, 383, 453, 595, 604]",20,31851,0.738095238095238,0.6788589935226804,0.8035714285714286,0.8073980354473644,0.7694429123000551,0.737570160520377
290,"[56, 160, 247, 268, 295, 345, 384, 758, 830, 930]",44,31829,0.7066666666666667,0.678872607655512,0.86,0.807342931191617,0.7758297872340426,0.73755520198026
291,"[93, 176, 179, 189, 299, 340, 351, 443, 489, 510]",25,31847,0.7250000000000001,0.6788635306624242,0.8214285714285714,0.8073841795039739,0.7702078521939955,0.7375670568907887
293,"[42, 72, 75, 76, 114, 138, 164, 253, 285, 374]",45,31828,0.605,0.6789739500265913,0.7547619047619047,0.8074478335991511,0.6716336893713886,0.737658787106778
297,"[135, 154, 299, 396, 621, 681, 754, 758, 947, 951]",23,31850,0.9222222222222223,0.6786820160138309,1.0,0.8072225940111933,0.9595375722543353,0.73739249986741
315,"[10, 19, 95, 111, 164, 187, 196, 200, 208, 224]",30,31842,0.6484848484848486,0.678933639052281,0.8181818181818182,0.8073835395986744,0.7235161532682194,0.7376081667146881
325,"[15, 31, 101, 111, 121, 130, 222, 285, 302, 379]",31,31841,0.4833333333333334,0.6790952286018173,0.7,0.8075024208247908,0.571830985915493,0.7377531388914048
