uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
17,"[931, 1426, 1780, 674, 1600, 338, 1226, 542, 1359, 143]",8,9101,0.8,0.7068457538994775,1.0,0.7969203048059184,0.888888888888889,0.749185327581193
34,"[1042, 967, 466, 604, 101, 1545, 1770, 1312, 969, 293]",43,9068,0.7629629629629631,0.7068230071414757,0.7707231040564374,0.7976447826766282,0.7668234011380286,0.7494925285045393
38,"[950, 427, 34, 399, 540, 1813, 1281, 530, 1357, 1658]",7,9095,0.9,0.7065569035239718,0.925,0.7971369425875474,0.9123287671232876,0.7491187269212951
54,"[221, 34, 1788, 480, 616, 1612, 1019, 1643, 1425, 1549]",8,9096,0.7857142857142857,0.7067958357432015,0.8571428571428571,0.7972637638051154,0.8198757763975155,0.7493090146369625
70,"[1535, 728, 1090, 760, 1780, 124, 1751, 644, 894, 307]",13,9098,0.8125,0.7066261574074048,0.875,0.7971464395943545,0.8425925925925926,0.7491618435189421
96,"[34, 605, 1102, 1643, 1357, 1309, 1148, 1462, 536, 915]",15,9091,0.9083333333333333,0.7061824845678984,1.0,0.7965677358906509,0.9519650655021834,0.748656929408052
103,"[34, 399, 540, 676, 950, 152, 653, 1280, 652, 268]",16,9086,0.7833333333333333,0.7068497109826563,0.8333333333333334,0.7973809523809506,0.8075601374570447,0.7493910468135541
108,"[894, 34, 1603, 1549, 712, 1536, 1731, 1283, 427, 167]",9,9094,0.861111111111111,0.7065799614643519,0.9375,0.7970196807046501,0.8976833976833977,0.7490799006393003
140,"[1600, 221, 1598, 460, 616, 167, 1252, 692, 1012, 746]",10,9096,0.5714285714285714,0.707663389242334,0.7142857142857143,0.7978421328045371,0.634920634920635,0.7500519387177821
197,"[34, 1052, 1600, 256, 1621, 540, 196, 464, 328, 489]",17,9087,0.5809523809523809,0.7076248313090392,0.6095238095238095,0.7982662700707798,0.5948952380952381,0.7502176408120736
219,"[325, 1350, 92, 1707, 426, 728, 154, 781, 1249, 119]",35,9075,0.575,0.7078794901506346,0.65,0.7983598190145104,0.6102040816326529,0.7504020618795071
231,"[427, 950, 540, 34, 1549, 1600, 272, 219, 478, 846]",6,9097,0.5583333333333333,0.7074576597382574,0.9166666666666666,0.797230012097216,0.6939736346516007,0.74966584652535
236,"[1536, 1417, 1387, 1728, 34, 915, 1788, 694, 1672, 280]",21,9086,0.79375,0.7067129629629604,0.825,0.797377921075836,0.8090733590733591,0.7493128496219438
317,"[540, 1280, 453, 908, 192, 336, 489, 1731, 167, 196]",27,9075,0.762962962962963,0.7068230071414757,0.7407407407407408,0.7978010312405199,0.7516876482393724,0.7495614979119856
328,"[1148, 1731, 1604, 581, 1387, 1257, 846, 926, 1623, 637]",11,9098,1.0,0.7060982658959511,1.0,0.7968029176988698,1.0,0.7487134411621938
336,"[34, 674, 489, 451, 1082, 1514, 120, 1115, 933, 703]",31,9072,0.9,0.7062210648148122,0.8035714285714286,0.7974771274250423,0.8490566037735849,0.7490800334828571
344,"[950, 1600, 1536, 1612, 533, 382, 908, 842, 1640, 907]",15,9088,0.6428571428571429,0.7073742047426231,0.7857142857142857,0.7975529483048263,0.7071428571428572,0.7497617162463053
355,"[931, 610, 1535, 1378, 1012, 1184, 770, 1776, 1148, 1631]",17,9094,0.8571428571428571,0.7065066512434907,1.0,0.7966853948056939,0.923076923076923,0.7488910440394282
393,"[540, 34, 1600, 167, 399, 25, 1252, 770, 581, 1280]",6,9100,0.8166666666666667,0.7068610469591966,1.0,0.797037556362035,0.8990825688073394,0.749245727486758
435,"[1052, 1070, 950, 1252, 1280, 337, 1168, 529, 616, 453]",21,9085,0.8285714285714285,0.706622325043375,0.9102040816326531,0.7970489410339018,0.8674714956405096,0.7491166302007275
460,"[1777, 1755, 1099, 444, 1199, 1562, 798, 1746, 1416, 1787]",45,9066,0.6950000000000001,0.707184241019696,0.9666666666666668,0.7965251338078667,0.8086258776328988,0.7492006522465461
472,"[167, 674, 1600, 152, 676, 1159, 605, 399, 1106, 1549]",5,9100,0.725,0.7070727482678956,1.0,0.797037556362035,0.8405797101449275,0.7493646359776656
498,"[110, 1600, 1257, 1536, 674, 219, 846, 1603, 167, 605]",2,9106,0.8888888888888888,0.7067993844970158,1.0,0.7971546726018722,0.9411764705882353,0.7492628239332937
514,"[540, 167, 34, 1280, 1731, 530, 453, 853, 632, 1644]",26,9079,0.8375,0.706510416666664,0.8995535714285714,0.7970327656525555,0.8674184014392186,0.7490465960406523
535,"[74, 846, 1071, 489, 645, 1387, 894, 536, 1643, 911]",10,9097,0.9642857142857143,0.7060728744939244,1.0,0.7966853948056939,0.9818181818181818,0.7486472818279054
536,"[1402, 24, 26, 620, 426, 728, 605, 1090, 300, 1013]",13,9096,0.6458333333333333,0.7073977623456763,0.75,0.7977251432980582,0.6940298507462687,0.7498510310619156
547,"[1442, 352, 162, 55, 1813, 509, 1323, 849, 267, 1196]",42,9062,0.9272727272727272,0.7057101449275337,0.9116883116883117,0.7967770876466512,0.9194144838212635,0.7484837964775096
569,"[540, 536, 1600, 894, 1405, 1134, 911, 440, 1252, 1357]",18,9084,0.91875,0.7061342592592565,0.9375,0.7968570877425027,0.9280303030303031,0.7487575900034531
580,"[460, 1612, 1600, 167, 540, 893, 161, 634, 1813, 536]",9,9096,0.76,0.7069612940496796,0.8,0.7974980055569293,0.7794871794871796,0.7495054497758625
597,"[950, 34, 399, 983, 167, 1102, 504, 959, 653, 723]",10,9096,0.95,0.706412478336219,1.0,0.7969203048059184,0.9743589743589743,0.7489418894700942
611,"[1052, 950, 399, 1600, 816, 676, 1643, 568, 1056, 1549]",16,9090,0.7571428571428572,0.7069115095430857,0.9428571428571428,0.7969167424054625,0.8398559423769507,0.7492206861043574
625,"[950, 540, 1536, 1070, 34, 427, 399, 167, 536, 1600]",2,9101,0.9,0.7068915801614736,0.9,0.7973869940132899,0.9,0.749417244751339
635,"[950, 712, 1387, 1252, 1168, 280, 74, 370, 138, 61]",17,9089,0.7428571428571429,0.706969346443028,0.8285714285714285,0.7973794376049999,0.7833766233766233,0.7494576069703773
655,"[1536, 1070, 167, 399, 950, 540, 340, 1134, 1643, 1252]",4,9098,1.0,0.7064376443417988,0.90625,0.7972540690641136,0.9508196721311475,0.7491033986160313
658,"[1600, 427, 167, 1280, 1612, 676, 1658, 1159, 727, 1357]",9,9100,0.8333333333333334,0.706676300578032,0.8333333333333334,0.7973809523809506,0.8333333333333334,0.7492935797109914
713,"[950, 1014, 399, 536, 883, 645, 1252, 810, 926, 134]",22,9079,0.7714285714285715,0.7068536726431436,0.7761904761904762,0.797591506238121,0.7738021978021978,0.7494862469799413
720,"[399, 1097, 1014, 653, 192, 1499, 959, 719, 1271, 183]",26,9076,0.7716666666666667,0.7067400540749297,0.8291666666666666,0.7973217734370671,0.7993840013881659,0.7493032839031173
810,"[34, 1106, 983, 1102, 152, 223, 871, 977, 989, 1468]",17,9088,0.8857142857142858,0.7063909774436063,0.9761904761904763,0.7967817896389309,0.9287541103397882,0.7488686324256771
828,"[1600, 950, 340, 219, 540, 1406, 712, 894, 536, 1499]",14,9088,0.9666666666666667,0.7062138728323671,0.8819444444444443,0.7972123589320105,0.9223641372401703,0.7489591648410696
926,"[347, 1402, 593, 1388, 105, 1569, 1137, 998, 355, 1514]",20,9091,0.6851851851851851,0.7072283342983953,0.8888888888888888,0.7970289795130542,0.7738562091503267,0.7494482126070906
